,Reference,M x IO- s (g mol-I),[11] (cm 3 g-I),Rg (nm),RH (nm)
0,51,0.205,,3.97,
1,,0.400,,5.66,
2,,0.973,,9.10,
3,52,0.101,9.0,,
4,53,64.8,228,74.1,
5,,65.5,230,74.6,
6,54,4.22,,18.5,
7,,7.75,,26.0,
8,,12.6,,31.8,
9,55,0.107,,2.76,2.38
10,,0.146,,3.28,4.01
11,56,12.6,,,25.5
12,,28.8,,,39.3
13,,44.8,,,48.1
14,,50.5,,,51.5
15,,67.7,,,59.2
16,,93.5,,,71.7
17,57,0.21,,,3.35
18,,1.10,,,7.16
19,,2.00,,,9.86
20,,6.70,,,18.1
21,,27.0,,,35.8
22,58,0.27,,,3.50
23,,0.57,,,5.04
24,,0.84,,,6.58
25,,1.25,,,7.85
26,,2.30,,,10.0
27,,4.60,,,14.0
28,,4.95,,,14.2
