,Reference,M X lO- s (g mol-I),['TIl (em 3 g-I),Rg (nrn),RH (nrn),A2 X 10 4 (em 3 mol (2)
0,42,2.46,101,,,4.46
1,,3.42,131,24.0,,4.12
2,,7.56,230,37.4,,3.34
3,,15.9,399,57.5,,2.91
4,,28.7,583,82.9,,2.25
5,41,87.6,,164,,1.82
6,,150,,227,,1.66
7,,232,,297,,1.44
8,,319,,353,,1.28
9,,390,,392,,1.22
10,,568,,506,,1.09
11,44,3.10,118,,,
12,,4.90,152,30.1,,3.72
13,,12.3,293,50.9,,2.86
14,,24.2,521,79.1,,2.33
15,,3n.3,fi90,98.2,,2.21
16,,45.9,798,112,,2.03
17,,55.3,,126,,1.89
18,,76.2,,152,,1.73
19,,97.0,,173,,1.60
20,,134,,211,,1.50
21,46,0.972,47.2,,,
22,,1.60,68.8,,,
23,,4.11,136,,,
24,,13.4,320,,,
25,,30.8,600,,,
26,,48.0,825,,,
27,,87.6,1302,,,
28,,150,2004,,,
29,,232,2802,,,
30,,319,3508,,,
31,,390,4007,,,
32,,568,5306,,,
33,59,7.75,,,28.0,
34,,24.2,,,52.9,
35,,55.3,,,77.0,
36,,97.0,,,112,
37,,134,,,139,
38,60,0.378,,,,7.7
39,,1.13,52.4,,,5.1
40,,1.77,73.2,,,4.6
41,,3.79,127,,,3.9
42,,6.19,179,,,3.25
43,61,0.364,,,,7.47
44,,1.17,,,,5.30
45,,3.79,,,,3.90
46,,6.19 17.5,,,,3.25 2.22
