,Reference,M X 10- 5 (g mol-I),[TlJ (em 3 g-I),"R, (nm)",RH (nm),A2 X 10 4 (em 3 mol g-2)
0,72,0.50,28.2,,,
1,,1.11,51.1,,,
2,,2.07,78.1,,,
3,,2.16,79.1,,,
4,,2.54,91.8,,,
5,,3.92,127,,,
6,,4.14,130,,,
7,,6.75,186,,,
8,,8.67,219,,,
9,,8.84,220,,,
10,,9.50,250,,,
11,,13.5,307,,,
12,,33.7,609,,,
13,73,0.944,40.5,,,
14,,2.16,73.3,,,
15,,4.14,122,,,
16,,7.57,191,,,
17,,8.67,204,,,
18,,8.84,205,,,
19,,13.5,287,,,
20,,17.8,349,,,
21,,33.7,556,,,
22,74,0.506,29.3,,,
23,,0.972,46.4,,,
24,,1.59,64.6,,,
25,,4.05,132,,,
26,,8.29,225,,,
27,75,0.68,31.3,,,
28,,2.13,81.5,,,
29,,2.90,96.7,,,
30,,9.34-,221,,,
31,,22.3,391,,,
32,76,2.00,72.6,,,
33,,8.67,223,,,
34,,21.6,473,,,
