,Reference,M X 10- 5 (g mol-I),[1)] (cm g-I),Rg (nm),RH (nm),Al X 10 4 (cm 3 mol g-2)
0,86,2.04,62.1,,,
1,,3.42,89.5,,,
2,,4.44,104,,,
3,,7.68,159,,,
4,,11.9,242,,,
5,,18.2,317,,,
6,,33.0,465,,,
7,,74.7,940,,,
8,95,0.59,24.1,,5.33,
9,,0.76,28.7,,6.49,
10,,1.18,40.3,,8.32,
11,,1.77,52.2,,10.1,
12,,3.05,79.5,,14.3,
13,,3.13,82.1,,14.2,
14,,6.65,139,,21.9,
15,,,170,,,
16,,9.03,,,26.4,
17,91,2.04,,,,3.24
18,,3.42,,22.3,,2.80
19,,4.44,,27.0,,2.65
20,,6.94,,34.5,,2.20
21,,11.9,,48.0,,1.85
22,,12.4,,45.7,,1.94
23,,14.6,,55.4,,1.82
24,,18.2,,63.0,,1.67
25,,33.0,,85.6,,1.48
26,,74.7,,137,,1.17
27,96,0.69,,,,4.07
28,,1.14,,,,3.55
29,,2.97,,,,2.71
30,,6.11,,,,2.29
31,,7.79,,,,2.18
32,,10.5,,,,2.00
33,,,,,,1.56
34,,30.0 6.51,,29.1,,
35,,10.8,,41.4,,
36,,28.0,,88.7,,
37,97,5.71,,28.1,19.1,2.42
38,,11.7,,41.1,28.1,2.00
39,,29.6,,74.0,50.2,1.48
40,92,0.71,,,6.44,4.13
41,,1.09,,,8.25,3.78
42,,2.93,,,14.2,2.89
43,,5.84,,,21.8,2.30
44,,7.26,,,24.4,2.23
45,,10.1,,,28.9,1.98
46,,29.0,,,52.1,1.56
47,93,2.04,,,11.9,
48,,4.44,,,18.5,
49,,7.68,,,25.4,
50,,11.9,,,32.0,
51,,18.2,,,41.4,
52,,33.0,,,57.8,
53,,74.7,,,87.5,
