,Reference,M X 10- 5 (g mol-I),[111 (cm g-l),Rs (om),RH (run),A2 X 104 (cm 3 mol g-2)
0,31,0.152,,,3.49,14.5
1,,0.234,,,4.42,12.8
2,,0.620,63.7,,7.72,10.2
3,,1.01,,,,9.1
4,,1.56,129,,13.3,8.0
5,,1.64,,19.4,,7.9 a
6,,2.31,,24.3,,7.0 8
7,,2.97,,26.2,,6.8 8
8,,3.02,201,,,6.6
9,,3.16,,28.0,,6.5 8
10,,3.50,,31.2,,5.~
11,,5.00,,37.0,,5.5 8
12,,5.81,335,41.0,28.6,6.5(5.5 3 )
13,,9.20,466,,30.3,5.4
14,,9.42,,48.0,,4.7 8
15,,13.9,,65.0,,4.6 a
16,,16.0,,68.0,,3.7 8
17,,16.7,702,,54.6,4.8
18,,34.2,1120,,~3.0,4.1
19,30,3.26,212,31.6,20.9,8.04
20,,5.68,333,43.3,29.3,7.03
21,,5.78,340,43.5,29.4,6.77
22,,24.4,918,105,70.0,4.74
23,,72.4,2174,210,140,4.37
