,Author,TiC,KI (1O- 3 mL/g),a,No. of samples,MW range,MW method,Ref.
0,Fukuda et al.,25,,,6,310 ()()()...4.6X 10 6,light scattering,2
1,Altares et al.,25,,,6,540-7200 . 4 500--820 000,various methods cyclohexane viscosity,3
2,,,,,12,,,
3,Slagowski,40,,,5,411 000-44X 10 6,light scattering,4
4,Yamaguchi et al.,35,,,5,1.8X 10 6 -7.1 X10 6,light scattering,5
5,Inagaki et al.,30,,,10,58000--7.1 X10 6,. light scattering,6
6,Krigbaum and Flory,25,9.52,0.744,6,30 000--607 000,osometry,7
7,Yamamoto et al.,30,11.5,0.73,4,246 000--2.9X10 6,light scattering,8
8,Bawnetal.,25,11.3,0.73,6,72 000--900 000,osometry,9
9,Einaga et al.,25,7.8,0.75,15,4 000--56X10 6,light scattering and supplier,10
10,,,,,,,values,
