,Solvent Author,TiC,K/ (1O- 3 mL/g),a,Range,Ref.
0,Dichloroethane,,,,,
1,"Outer, Carr, and Zimm",22,0.21,0.66,3 000-1.7X l(f,27
2,Nakata,35,14.3,0.69,44 000-4.2X 1<f,17
3,Chloroform,,,,,
4,Oth and Desreux,25,7.16,0.76,115000-2.8X 10 6,16
5,Bawnetal.,25,11.2,0.73,72 000-1.8X1<f,9
6,Dioxane,,,,,
7,Bianchi et al.,34,15,0.694,10 000-685 000,29
8,"N,N-dimethyl""formamide",,,,,
9,Tsimpris et aJ.,25-45,31.8,0.603,10 000-864 000,30
10,Ethyl benzene,,,,,
11,Bawnetal.,25,17.6,0.68,72 000-1.5X10 6,9
12,N-methyl pyrrolidone,N-methyl pyrrolidone,N-methyl pyrrolidone,N-methyl pyrrolidone,N-methyl pyrrolidone,N-methyl pyrrolidone
13,Peureux and Lochon,85,12,0.72,20000-2X 10 6,31
14,Tetrachloroethane,Tetrachloroethane,Tetrachloroethane,Tetrachloroethane,Tetrachloroethane,Tetrachloroethane
15,Peureux and Lochon,50 .,11.5,0.73,20 000-2X 10 6,31
