,PEO mix,N.Theo,N.Exp,PDI.Theo,PDI.Exp,M n (g mol  1 ).Theo,M n (g mol  1 ).Exp,M w (g mol  1 ).Theo,M w (g mol  1 ).Exp
0,Mix A,36.3,36.1,1.04,1.06,1615,1588.4,1679.6,1683.7
1,Mix B,49.4,53.7,1.07,1.08,2190,2362.8,2343.3,2551.8
2,Mix C,107.5,120,1.11,1.12,4750,5280,5272.5,5913.6
3,Mix D,8.7,8.7,1.12,1.12,400.6,382.8,447.5,428.7
4,Mix E,8.8,9.5,1.14,1.17,403.4,418,459.7,489.1
5,Mix F,23,23.8,1.26,1.31,1021,1047.2,1268.3,1371.8
6,Mix G,71.5,85.3,1.28,1.28,3165,3753.2,4051.2,4804.1
7,Mix H,44.8,47.5,1.34,1.15,1989.3,2090,2518,2403.5
8,Mix I,34.7,37,1.54,1.5,1544.3,1628,2382.7,2442
9,Mix J,38.1,39.8,2.01,2.2,1696.9,1751.2,3238.5,3852.6
10,Mix K,15.7,15.9,2.12,1.89,710.3,699.6,1332.1,1322.2
11,Mix L,19.1,19.4,2.51,2.24,858.5,853.6,2008.2,1912.1
12,Mix M,21.4,24.8,3.3,2.41,961.7,1091.2,3062.8,2629.8
13,Mix N,22.4,23.8,3.41,2.75,1001.7,1047.2,3328,2879.8
14,Mix O,13.5,13.9,5.23,4.48,611.3,611.6,3099.6,2740
