,Sample,Weight-averaged molecular weight M w [kg mol - 1 ],Number-averaged molecular weight M n [kg mol - 1 ],Peak molecular weight M p [kg mol - 1 ],Polydispersity index Ð M [-]
0,PS1K,0.71,0.64,0.68,1.10
1,PS2K,1.92,1.77,1.82,1.08
2,PS28K,27.50,26.60,28.00,1.03
3,PS125K,125.00,120.00,130.00,1.04
4,PS263K,263.02,162.48,240.04,1.62
5,PMMA7K,7.59,4.36,7.99,1.74
6,PMMA12K,12.09,6.61,11.97,1.83
7,PMMA29K,28.99,15.80,30.58,1.83
8,PMMA38K,38.42,21.22,37.46,1.81
9,PMMA42K,42.45,23.35,49.56,1.82
10,PMMA52K,52.15,28.82,64.01,1.81
11,PMMA57K,56.50,34.00,67.41,1.66
12,PMMA74K,73.90,40.44,80.88,1.83
