,Entry,Polymer c,Polymer type,"M ˉ n,SEC",M ˉ n,Đ,Ref.
0,1,OHPV 5,Homopolymer,2.3,"1.5 a , b",1.02,37
1,2,OHPV 5 - b -PEG 12,Linear BCP,1.9,2.1 a,1.04,
2,3,OHPV 5 - b -PEG 45,Linear BCP,3.7,3.6 a,1.06,
3,4,OHPV 5 - b -PEG 115,Linear BCP,7.7,6.6 a,1.05,
4,5,PF - Br,Homopolymer,6.1,-,1.48,38
5,6,PF- b -PHFBMA 12,Linear BCP,9.5,9.3 a,1.50,
6,7,PF- b -PHFBMA 36,Linear BCP,9.6,15.7 a,1.60,
7,8,PF- b -PHFBMA 39,Linear BCP,9.1,21.9 a,1.64,
8,9,PF- b -PHFBMA 87,Linear BCP,8.7,29.4 a,1.60,
9,10,PNIPAM,Homopolymer,23.0,-,1.3,39
10,11,PNIPAM- b -PPEGA- b -PNIPAM,ABA-type BCP,14.0,-,1.36,
11,12,PS- b -PNIPAM- b -PPEGA,ABCACBA-type BCP,77.0,-,1.45,
12,13,PEI 32,Homopolymer,-,19.3 a,-,40
13,14,P4VP 29 - b -PEI 32 - b -P4VP 29,ABA-type BCP,18.7,25.6 a,1.90,
14,15,P4VP 35 - b -PEI 32 - b -P4VP 35,ABA-type BCP,12.1,27.7 a,2.12,
15,16,P4VP 85 - b -PEI 32 - b -P4VP 85,ABA-type BCP,10.5,37.8 a,2.17,
