,Sample,Gradients,CDCl 3,C 6 D 6,CD 2 Cl 2,Toluene,THF,Acetone
0,ps1.2k,LD/ms,2.0,2.0,1.6,2.0,2.0,1.6
1,ps1.2k,BD/ms,76.73,76.73,77.27,76.73,76.73,57.27
2,ps3.2k,LD/ms,2.0,2.0,1.6,2.0,2.0,1.6
3,ps3.2k,BD/ms,76.73,76.73,77.27,76.73,76.73,57.27
4,ps9k,LD/ms,2.6,2.6,2.4,2.6,2.6,2.0
5,ps9k,BD/ms,95.93,95.93,76.2,95.93,95.93,76.73
6,ps18k,LD/ms,3.2,3.2,3.0,3.2,3.2,2.6
7,ps18k,BD/ms,95.13,95.13,95.4,95.13,95.13,75.93
8,ps33k,LD/ms,3.8,3.8,3.6,3.8,3.8,3.0
9,ps33k,BD/ms,94.33,94.33,94.6,94.33,94.33,75.4
10,ps62k,LD/ms,4.2,4.2,4.0,4.2,4.2,-
11,ps62k,BD/ms,113.8,113.8,94.07,113.8,113.8,-
12,Sample,Gradients,MeOD,D 2 O,CD 3 CN,Acetone,THF,
13,peg1k,LD/ms,2.0,2.6,1.6,1.6,2.0,
14,peg3k,LD/ms,2.0,2.6,1.6,1.6,2.0,
15,peg3k,BD/ms,76.73,75.93,77.27,57.27,76.73,
16,peg6k,LD/ms,2.6,3.2,2.4,2.0,2.4,
17,peg6k,BD/ms,95.93,95.13,76.2,,96.2,
18,peg12k,,,,,76.73,3.0,
19,peg12k,LD/ms,3.2,3.8,3.0,2.6,,
20,,BD/ms,95.13,94.33,95.4,75.93,95.4,
21,,LD/ms,3.8,4.6 93.27,3.6 94.6,3.0 75.4,3.6 94.6,
22,peg26k,BD/ms,94.33,,,-,4.0,
23,peg26k,LD/ms,4.2,5.2,4.0,,,
24,peg42k Sample,BD/ms Gradients,113.8 CDCl 3,112.47 C 6 D 6,94.07 CD 2 Cl 2,- DMSO,114.07 THF,
25,peg42k Sample,LD/ms,2.0,,,3.6,,
26,mm2.1k,,,2.0,1.6,,2.0,
27,mm2.1k,BD/ms,76.73,76.73,77.27,74.6,76.73,
28,mm6.5k,BD/ms,76.73,76.73,76.73,94.33,76.47,
29,mm6.5k,LD/ms,2.6,,2.4,,2.6,
30,mm12.5k,,,2.6,,4.0,95.93,
31,mm12.5k,BD/ms,,,,,,
32,mm21k,,95.93,95.93,96.2,94.07,3.2,
33,mm21k,LD/ms,3.2,3.2,3.0,4.6,,
34,,BD/ms,95.13,95.13,95.4,113.27,95.13,
35,,LD/ms,3.8,3.8,3.6,5.2,3.8,
36,mm40k,BD/ms,94.33,94.33,94.6,122.47,94.33,
37,,LD/ms,4.2,4.2,4.0,5.6,4.2,
38,mm85k,BD/ms,113.8,113.8,94.07,141.93,113.8,
