,Polymer,Sample,M p,M w,M n,PDI
0,,ps1,1306,1220,1120,1.09
1,,ps2,3500,3510,3350,1.05
2,,ps3,8680,8670,8420,1.03
3,,ps4,19700,19100,18200,1.05
4,,ps5,34800,34000,32700,1.04
5,PS,ps6,66000,62500,59300,1.05
6,,ps7,130000,125000,120000,1.04
7,,ps8,304000,294000,282000,1.04
8,,ps9,552000,554000,532000,1.04
9,,ps10,1240000,1170000,1100000,1.06
10,,pmma1,2160,2130,1920,1.11
11,,pmma2,5980,5930,5590,1.06
12,,pmma3,12900,12800,12300,1.04
13,,pmma4,22800,21200,18700,1.13
14,PMMA,pmma5,41400,40300,38100,1.06
15,,pmma6,88500,86700,83700,1.04
16,,pmma7,202000,187000,175000,1.07
17,,pmma8,520000,517000,501000,1.03
18,,pmma9,988000,936000,850000,1.10
19,,pi1,1030,1070,944,1.13
20,,pi2,2200,2190,2030,1.08
21,,pi3,4620,4610,4450,1.04
22,,pi4,12100,12000,11800,1.02
23,,pi5,23500,23600,23300,1.01
24,PI,pi6,42300,42500,42000,1.01
25,,pi7,111000,111000,110000,1.01
26,,pi8,226000,231000,227000,1.02
27,,pi9,443000,443000,429000,1.03
28,,pi10,1180000,1090000,1010000,1.08
29,,p2vp1,1020,1050,867,1.21
30,,p2vp2,2450,2490,2180,1.14
31,,p2vp3,5780,5790,4630,1.25
32,,p2vp4,11500,12200,11500,1.06
33,,p2vp5,19600,20500,19600,1.04
34,P2VP,p2vp6,42800,43100,40500,1.06
35,,p2vp7,118000,120000,113000,1.06
36,,p2vp8,243000,249000,232000,1.07
37,,p2vp9,539000,535000,488000,1.10
38,,p2vp10,1160000,1200000,1040000,1.15
39,PEO,peo1,1030,1020,978,1.04
