,Shape,Sample,M[g/mol]
0,,Cyclopentane,70
1,,THF,72
2,,TMS,88
3,CS,Methyl- tert -butylether (MTB),88
4,,Tetramethylbutane (TMB),114
5,,Adamantane,136
6,,N(SiMe 3 ) 3,234
7,,Si(SiMe 3 ) 4,321
8,,Toluene,92
9,,Diisopropylether,102
10,,Indene,116
11,,Naphthalene,128
12,,"1,3-Indandione",146
13,,2-Phenylpyridine,155
14,DSE,Tetramethoxypropane,164
15,,Diphenylacetylene,178
16,,Diphenylsulfoxide,202
17,,1-Phenylnaphthalene,204
18,,Triphenylmethane,244
19,,Tri-(o-tolyl)-phosphine,304
20,,Hexaphenyltrisiloxane,595
21,,BINAP,623
22,,Anthracene,178
23,,Acridine,179
24,,9-Methylanthracene,192
25,,Pyrene,202
26,ED,Anthrachinone,208
27,,Triphenylene,228
28,,"3,4-Dihydrobenzophenanthrene",281
29,,Tetraphenylnaphthalene,433
