,Sample,Gradients,CDCl 3,C 6 D 6,CD 2 Cl 2,THF,Toluene,Acetone
0,ps1,LD/ms,2.0,2.0,1.6,2.0,2.0,1.6
1,,BD/ms,76.73,76.73,77.27,76.73,76.73,57.27
2,,LD/ms,2.0,2.0,1.6,2.0,2.0,1.6
3,ps2,BD/ms,76.73,76.73,77.27,76.73,76.73,57.27
4,,LD/ms,2.6,2.6,2.4,2.6,2.6,2.0
5,ps3,BD/ms,95.93,95.93,76.2,95.93,95.93,76.73
6,,LD/ms,3.2,3.2,3.0,3.2,3.2,2.6
7,ps4,BD/ms,95.13,95.13,95.4,95.13,95.13,75.93
8,ps5,LD/ms,3.8,3.8,3.6,3.8 94.33 4.2 113.8,3.8 94.33,3.0 75.4
9,,BD/ms,94.33,94.33,94.6,,4.2,
10,ps6,LD/ms,4.2,4.2,4.0,,,-
11,,BD/ms,113.8,113.8,94.07,,113.8,-
12,,LD/ms,5.6,5.6,5.6,5.6,-,-
13,ps7,BD/ms,111.93,91.93,141.93,91.93,-,-
14,,LD/ms,5.6,5.6,5.6,5.6,-,-
15,ps8,BD/ms,191.93,191.93,251.93,191.93,-,-
16,,LD/ms LD/ms,5.6,5.6 5.6,5.6 5.6,5.6 241.93,-,-
17,ps9,BD/ms,291.93,241.93,251.93,5.6,- -,- -
18,ps10,BD/ms,5.6 291.93,391.93,341.93,391.93,-,-
19,Sample,Gradients,CDCl 3,C 6 D 6,CD 2 Cl 2,THF,DMSO,-
20,pmma1,LD/ms,2.0 76.73,2.0 76.73,1.6 77.27,2.0 76.73,3.6 74.6,- -
21,pmma2,BD/ms,,76.73,76.73,76.47,,
22,,LD/ms,2.0,2.0,2.0,2.2,3.8,-
23,,BD/ms,76.73,,,,94.33,-
24,pmma3,LD/ms,2.6,2.6,2.4,2.6,4.0,-
25,,BD/ms,95.93,95.93,96.2,95.93,94.07,-
26,pmma4,LD/ms,3.2,3.2,3.0,3.2,4.6,-
27,pmma5,BD/ms LD/ms,95.13 3.8,95.13 3.8,95.4 3.6,95.13 3.8,113.27 5.2,-
28,,BD/ms LD/ms,94.33 4.2,94.33 4.2,94.6,94.33 4.2,122.47 5.6,- -
29,pmma6,,113.8,113.8,4.0,113.8,141.93,-
30,,,,,94.07,,,
31,,BD/ms LD/ms,5.6,5.6,5.6,5.6,-,- -
32,pmma7,BD/ms,141.93,141.93,141.93,91.93,-,-
33,,LD/ms,5.6,5.6,5.6,5.6,-,-
34,pmma8,BD/ms,291.93,291.93,251.93,191.93,-,-
35,,LD/ms,5.6,5.6,5.6,5.6,,-
36,pmma9,BD/ms,391.93,391.93,341.93,341.93,- -,-
37,,Gradients,CDCl 3,C 6 D 6,CD 2 Cl 2,THF,-,-
38,,LD/ms,1.6,2.0,1.6,1.8,-,-
39,Sample,,,,,,,
40,pi1,BD/ms,77.27,76.73,77.27 1.8,77.0,-,-
41,pi2,,,,,,,-
42,,LD/ms,2.0,2.0,,2.0,-,
