,,BD/ms,77.0,76.73,77.0,76.73,-,-
0,,LD/ms,2.4,2.4,2.4,2.6,-,-
1,pi3,BD/ms,96.2,96.2,96.2,95.93,-,-
2,,LD/ms,3.0,3.2,2.6,3.2,-,-
3,pi4,BD/ms,95.4,95.13,95.93,95.13,-,-
4,,LD/ms,3.6,4.0,3.6,3.8,-,-
5,pi5,BD/ms,94.6,94.07,94.6,94.33,-,-
6,,LD/ms,4.2,4.4,4.2,4.2,-,-
7,pi6,BD/ms,113.8,113.53,113.8,113.8,-,-
8,,LD/ms,4.6,5.2,4.6,4.8,-,-
9,pi7,BD/ms,143.27,142.47,113.27,143.0,-,-
10,,LD/ms,5.6,5.6,-,5.6,-,-
11,pi8,BD/ms,191.93,191.93,-,161.93,-,-
12,,LD/ms,5.6,5.6,-,5.6,-,-
13,pi9,BD/ms,291.93,291.93,-,261.93,-,-
14,,LD/ms,5.6,5.6,-,5.6,-,-
15,pi10,BD/ms,491.93,491.93,-,441.93,-,-
16,Sample,Gradients,C 6 D 6,CD 2 Cl 2,THF,MeOD,-,-
17,,LD/ms,1.8,1.6,1.6,1.8,-,-
18,p2vp1,BD/ms,77.0,77.27,77.27,77.0,-,-
19,p2vp2,LD/ms,2.0,1.6,1.8,2.0,-,-
20,,BD/ms,76.73,77.27,77.0,76.73,-,-
21,,LD/ms,2.4,2.0,2.0,2.4,-,-
22,p2vp3,BD/ms,96.2,96.73,96.73,96.2,-,-
23,,LD/ms,2.8,2.4,2.4,2.8,-,-
24,p2vp4,BD/ms,95.67,96.2,96.2,95.67,-,-
25,,LD/ms,3.4,2.8,2.8,3.2,-,-
26,p2vp5,BD/ms,94.87,105.67,105.67,105.13,-,-
27,p2vp6,LD/ms,4.0,3.4,3.4,3.8,-,-
28,,BD/ms,114.07,114.87,114.87,114.33333,-,-
29,,LD/ms,4.6,4.0,4.0,4.4,-,-
30,p2vp7,BD/ms,123.27,124.07,124.07,123.53,-,-
31,,LD/ms,5.6,5.6,5.6,-,-,-
32,p2vp8,BD/ms,141.93,141.93,141.93,-,-,-
33,,LD/ms,5.6,5.6,5.6,-,-,-
34,p2vp9,BD/ms,191.93,191.93,191.93,-,-,-
35,,LD/ms,5.6,5.6,5.6,-,-,-
36,p2vp10,BD/ms,341.93,341.93,341.93,-,-,-
37,Sample,Gradients,MeOD,D 2 O,CD 3 CN,THF,Acetone,-
38,,LD/ms,,2.6,,2.0,1.6,-
39,peo1,,2.0,,1.6,,,
40,peo2,BD/ms,76.73,75.93,77.27,76.73,57.27,-
41,,LD/ms,2.0,2.6,1.6,2.0,1.6,-
42,peo3,BD/ms LD/ms,76.73 2.6,75.93 3.2,77.27 2.4,76.73 2.4,57.27 2.0,- -
43,,BD/ms,95.93,95.13,76.2,96.2,76.73,-
44,peo4,LD/ms,3.2,3.8,3.0,3.0,2.6,-
