,Sample,THF-d8,C 6 D 6,CDCl 3,CD 2 Cl 2,Toluene-d8,Acetone-d6
0,PS / b,0.5604,0.56041,0.56239,0.56162,0.53106,0.45209
1,PS / c 3.1796E-8,,2.5445E-8,2.9966E-8,3.92E-8,2.1376E-8,2.0934E-8
2,PS / η,0.000501,0.000636,0.000544,0.000413,0.0006179,0.000326
3,,THF-d8,C 6 D 6,CDCl 3,CD 2 Cl 2,DMSO-d6,-
4,PMMA/b,0.5624,0.56913,0.58372,0.58736,0.44424,-
5,PMMA/c 3.6793E-8,,2.9624E-8,3.8316E-8,5.1798E-8,3.1205E-9,-
6,PMMA/ η,0.000501,0.000636,0.000544,0.000413,0.00218,-
7,,THF-d8,C 6 D 6,CDCl 3,CD 2 Cl 2,-,-
8,PI / b,0.60811,0.61614,0.62721,0.57317,-,-
9,PI / c 4.672E-8,,4.0871E-8,5.0317E-8,4.1675E-8,-,-
10,PI / η,0.000501,0.000636,0.000544,0.000413,-,-
11,,THF-d8,C 6 D 6,CD 2 Cl 2,MeOD,-,-
12,P2VP/b,0.5049,0.48883,0.53396,0.4789,-,-
13,P2VP/c,1.8199E-8,1.2484E-8,2.6449E-8,1.1295E-8,-,-
