,Sample,THF-d8,C 6 D 6,CDCl 3,CD 2 Cl 2,Toluene-d8,Acetone-d6,DMSO-d6,CD 3 CN,CD 3 OD,D 2 O
0,PS/K,0.0141,0.013427,0.013156,0.013431,0.024735,0.17932,-,-,-,-
1,PS/a,0.7,0.70012,0.70599,0.70367,0.61201,0.37508,-,-,-,-
2,PMMA/K,0.0090994,0.0085214,0.0062933,0.0058216,-,-,0.18104,-,-,-
3,PMMA/a,0.706,0.72619,0.76996,0.78089,-,-,0.35152,-,-,-
4,PI/K,0.0044444,0.0032451,0.0027791,0.011177,-,-,-,-,-,-
5,PI/a,0.84314,0.86722,0.90044,0.73833,-,-,-,-,-,-
6,P2VP/K,0.075189,0.11387,-,0.043726,-,-,-,-,0.1813,-
7,P2VP/a,0.53351,0.48529,-,0.62069,-,-,-,-,0.4555,-
8,PEO/K,0.01239,-,-,-,-,0.17246,-,0.0087817,0.015555,0.018426
9,PEO/a,0.76068,-,-,-,-,0.44224,-,0.8072,0.72943,0.73577
