,sample name,M w (kDa),Đ,M n (kDa),D (10 - 10 m 2 /s),R h (nm)
0,PNB 70 - g -PDMS 14,120,1.5,80,0.59,6.9
1,PNB 225 - g -PDMS 14,370,1.5,250,0.36,10.5
2,PNB 610 - g -PDMS 14,1010,1.5,670,0.23,16.2
3,PNB 1840 - g -PDMS 14,3040,1.5,2020,0.19,20.9
4,PNB 20 - g -PDMS 62,110,1.1,100,0.58,6.5
5,PNB 85 - g -PDMS 62,510,1.1,470,0.41,9.2
6,PNB 100 - g -PDMS 62,660,1.1,590,0.31,12.6
7,PNB 290 - g -PDMS 62,2840,1.4,2060,0.17,22.8
8,PNB 515 - g -PDMS 62,4110,1.3,3280,0.16,23.4
9,(PNB 25 - g -PDMS 62 )- block - (PNB 25 - g -PEG 102 ),290,1.1,270,0.37,10.2
10,(PNB 50 - g -PDMS 62 )- block - (PNB 50 - g -PEG 102 ),570,1.1,530,0.28,13.4
11,(PNB 140 - g -PDMS 62 )- block -(PNB 140 - g -PEG 102 ),1770,1.1,1580,0.17,21.8
12,(PNB 220 - g -PDMS 62 )- block -(PNB 220 - g -PEG 102 ),3460,1.6,2230,0.14,26.1
13,(PNB 17 - g -PDMS 14 )- ran - (PNB 18 - g -PEG 45 ),60,1.1,60,0.71,5.3
14,(PNB 36 - g -PDMS 14 )- ran - (PNB 37 - g -PEG 45 ),120,1.1,120,0.50,7.5
15,(PNB 76 - g -PDMS 14 )- ran - (PNB 77 - g -PEG 45 ),280,1.1,270,0.37,10.3
16,(PNB 138 - g -PDMS 14 )- ran - (PNB 139 - g -PEG 45 ),480,1.1,450,0.26,14.5
