,Polymer,Solvent,Temp (OC),Kx 10 2 (ml/g),a,Remark,Ref
0,PVC-PVAc,THF,25,6.72,0.611,10-13% VAc,1
1,EPM,toluene,30,3.051,0.76,"50% PP,A",2
2,EPDM,THF,35,27.4,0.54,,3
3,EPR,ODCB,135,4.43,0.725,,4
4,,,,2.42,0.707,,5
5,,toluene,30,3.1,0.72,"62% PE, B",6
6,E-NORB,xylene,90,10.0,0.535,50%,7
7,,DEB,120,4.93,0.589,,
8,EVA,THF,20,9.7,0.62,"27-29% EVA, C",8
9,P (S-MMA),THF,ns,0.775,0.76,alternating,9
10,,MEK,,1.15,0.69,,
11,,toluene,,1.09,0.73,,
12,,n-chlorobutane,,1.08,0.70,,
13,,THF,,0.641,0.76,1:1 block,
14,,MEK,,1.466,0.67,,
15,,toluene,,1.318,0.69,,
16,,n-chlorobutane,,4.446,0.55,,
17,,toluene,ns,1.14,0.70,"statistical, 30% S",10
18,,n-chlorobutane,,2.65,0.60,,
19,,toluene,,1.32,0.71,57% S,
20,,n-chlorobutane,,2.49,0.63,,
21,,toluene,,0.832,0.75,71% S,
22,,n-chlorobutane,,1.76,0.67,,
23,P (S-MAH),THF,25,3.98,0.595,"MAH 5- 50mol%, B",11
24,P (S-AN),DMF,20,1.45,0.71,"12%S,D",12
25,,,,1.80,0.71,25% S,
26,,,,2.65,0.72,52% S,
27,,,25,1.86,0.690,"15-82% AN, E",13
28,,THF,,1.98,0.681,"0-35%AN,E",
29,,MEK,,3.30,0.619,"1O-48%AN,E",
30,P (AN-EVE),DMF,55,0.142,0.9636,"18% EVE,F",14
31,P (SA-AA),O.5M NaCl,25,0.81,0.789,"10% SA, G, pH 9",15
32,,1M NaCl,,0.307,0.860,,
33,,0.5M NaCI,,1.09,0.775,20% SA,
34,,1M NaCl,,1.307,0.759,,
35,,0.5M NaCI,,5.78,0.655,50% SA,
36,,1M NaCI,,2.98,0.695,,
37,,0.5M NaCI,,0.638,0.844,70% SA,
38,,1M NaCl,,0.026,1.072,,
