,Sample,Solvent,Wave- length (nm),dn/dc (ml/g),Temp (0C),Az (x 10 3 ),"Ref, Remark"
0,Polystyrene,toluene,632.8,0.110,23,,
1,,,632.8,0.108,25,,"2,A"
2,,,632.8,0.108,,,3
3,,,632.8,0.107,,,4
4,,,632.8,0.109,22,0.5-0.3,5
5,,,632.8,0.111,20,,6
6,,,670,0.108,,,7
7,,,589.3,0.107,,,"8,C"
8,,,546.0,0.104,,,9
9,,benzene,546.0,0.1064,,,9
10,,,546.0,0.109,25,,10
11,,,436,0.112,25,,10
12,,CCl 4,546.0,0.146,,,9
13,,tetrahydrofuran (THF),488,0.199,,,10
14,,,632.8,0.190,,,3
15,,,632.8,0.193,20,,6
16,,,632.8,0.1845,25,,11
17,,,632.8,0.184,30,,12
18,,,632.8,0.186,,,4
19,,,632.8,0.184,,,13
20,,,632.8,0.188,22,0.47-0.3,5
21,,,632.8,0.192,25,,14
22,,,632.8,0.184,40,,15
23,,,670,0.180,25,,11
24,,,670,0.1805,30,,"16,D"
25,,chloroform,632.8,0.155,,,3
26,,,632.8,0.1608,,,17
27,,,546.0,0.169,25,,10
28,,,436,0.161,25,,10
29,,acetone methyl ethyl ketone,670 632.8,0.224 0.212,22,0.125-0.06,7 5
30,,,632.8,0.214,,,7
31,,,670,0.213,,,7
32,,,589.3,0.212,,,"8,C"
33,,,546.0,0.220,,,9
34,,tetrahydronaphthalene,670,0.0615,,,7
