,Sample,Solvent,Wave- length (nm),dn/dc (ml/g),Temp (Oe),A2 (x 10 3 ),"Ref, Remark"
0,Poly(methacrylic acid),ethanol,436,0.154,25,,10
1,,methanol,546,0.134,25,,10
2,Poly(methyl acrylate),benzene,436,-0.019,30,,10
3,,acetonitrile,546.0,0.118,25,,10
4,,,436,0.120,25,,10
5,Poly(ethyl acrylate),acetone,546.0,0.107,23,,10
6,,,436,0.109,23,,10
7,,chloroform,546.0,0.0363,25,,10
8,,MEK,546.0,0.0856,20,,10
9,,,436,0.0870,20,,10
10,Poly(n-butyl acrylate),acetone,436,0.0870,20,,10
11,,benzene,546,-0.0292,30,,10
12,,THF,546,0.0651,30,,10
13,,,632.8,0.067,,,6
14,,toluene,546,-0.0239,30,,10
15,,,632.8,-0.024,20,,6
16,,MEK,632.8,0.097,20,,6
17,,DMF,632.8,0.016,20,,6
18,Poly(tert-butyl acrylate),MEK,546,0.0818,25,,10
19,,propyl alcohol,546,0.074,,,32
20,Poly(vinyl chloride),THF,632.8,0.101,,,20
21,,,589.0,0.106,23,,29
22,,,589.0,0.115,,,29
23,,,589.0,0.115,25,,10
24,,,578,0.1010,16.5,,10
25,,,546.0,0.1017,16.5,,10
26,,,546.0,0.116,25,,10
27,,,435.8,0.115,20,,33
28,,,435.8,0.1124,20,,34
29,,,435.8,0.1074,25,,35
30,,,435.8,0.104,16.5,,10
31,,,435.8,0.119,25,,10
32,,cyclohexanone,632.8,0.0650,,,20
33,,,589.0,0.076,25,,10
34,,,546.0,0.077,25,,10
35,,toluene,435.8,0.079,25,,10 3
36,Polyisoprene,THF,632.8 632.8,0.031 0.127,,,3
37,,,589.0,0.156,,,29
38,,chloroform,632.8,,,,3
39,"(cis-1,4)",benzene,546.0,0.093 0.0194,20,,10
40,,,436,0.0143,20,,10
41,"(trans-l,4)",cyclohexane,436,0.117,,,10
42,Polybutadiene,toluene,632.8,0.032,,,3
43,,,632.8,0.132,,,3
44,,THF,632.8,0.1295,26,,"20,K"
45,,chloroform,589.0,0.132 0.094,40,,29 3
46,,,632.8,0.083,,,
47,,,546.0,,,,10
