,Sample,Solvent,Wave- length (nm),dn/dc (mllg),Temp (OC),A2 (x W),"Ref, Remark"
0,Polybutadiene,,,,,,
1,"(cis-1,4)",cydohexane,632.8,0.1151,30,,36
2,"(trans-1,4)",,632.8,0.1084,30,,36
3,"(1,2-)",,632.8,0.0873,30,,36
4,,,632.8,0.111,30,,"36,L"
5,,,546,0.118,,,10
6,,,546,0.1174,25,,9
7,,,436,0.126,,,10
8,,,436,0.1345,25,,9
9,,benzene,546,0.0086,20,,10
10,,,546,0.0099,25,,9
11,,,436,0.0117,20,,10
12,,,436,0.0160,25,,9
13,,hexane,546,0.1523,25,,9
14,,,436,0.2181,25,,9
15,Polychloroprene,THF,632.8,0.1274,25,,11
16,,MEK,546,0.156,25,,10
17,,,436,0.162,25,,10 37
18,Polyisobutylene,1-chloronaphthalene,632.8,-0.122,135,,
19,,,578,-0.128,135,,37
20,,,546,-0.131,135,,37
21,,,436,-0.146,135,,37
22,,trichlorobenzene,632.8,-0.051,135,,37
23,,(TCB),578,-0.053,135,,37
24,,,546,-0.054,135,,37
25,,,436,-0.066,135,,
26,,,632.8,0.1026,23,,37
27,,THF,632.8,,,0.35,"20,M"
28,,,546.1,0.125 0.114,25 25,,38 39
29,,toluene,632.8,0.106,25,,
30,,,,-0.177,,,"2,B"
31,Poly(l-butene),1-chloronaphthalene,632.8 578,-0.183,135 135,,37 37
32,,,546,-0.187,135,,37
33,,,436,-0.206,135,,37
34,,TCB,632.8,-0.103,135,,37
35,,,578,-0.105,135,,37
36,,,546,-0.108,135,,37
37,,,436,-0.120,135,,37
38,,,436,-0.108,35,,10
39,,n-nonane,,,,,
40,Polyethylene,TCB,632.8,-0.097,135,,20 12
41,,,632.8,-0.104 -0.098,135 145,,12
42,,,632.8 632.8,-0.098,145,,40
43,,,632.8,-0.091,145,,41
44,,,,-0.106,135,,10
45,(MW 11000),,546 589.3,-0.1063,135,,"8,C"
46,(MW 18400),,589.3,-0.1085,,,"8,C"
47,,1-chloronaphthalene,,-0.177,145,,20
48,(MW 11000),,632.8,,,,
