,Sample,Solvent,Wave- length (nm),dn/dc (mUg),Temp (0C),A z (x lQl),"Ref, Remark"
0,Polyethylene,,589.3,-0.1883,,,8
1,,,546.0,-0.191,135,,42
2,,decane,577,0.1200,125,,43
3,,,546,0.1213,125,,43
4,,,436,0.1263,125,,43
5,,,404,0.1233,125,,43
6,,o-dichlorobenzene,632.8,-0.056,135,,20
7,,(ODeB),589,-0.090,135,,29
8,,,546,-0.078,120,,10
9,,1-cyclonaphthalene,546,-0.214,125,,10
10,,,436,-0.245,125,,10
11,HDPE,,632.8,-0.112,145,2.00,44
12,,TeB,632.8,-0.107,135,,37
13,,,578,-0.108,135,,37
14,,,546,-0.110,135,,37
15,,,436,-0.125,135,,37
16,(SRM 1475),,632.8,-0.104,135,1.90,45
17,,ODeB,632.8,-0.056,145,1.41,44
18,,,589,-0.069,135,,29
19,(SRM 1475),,632.8,-0.056,135,0.68,45 44
20,,1-chloronaphthalene,632.8,-0.189,145,,
21,,,632.8,-0.183,135,,37
22,,,578,-0.188,135,,37
23,,,546,-0.192,135,,37
24,(SRM 1475),,436,-0.215,135 145,,37 45
25,,,632.8,-0.177 -0.1932,135,,
26,(SRM 1475),,589.3,,142,,8
27,,diphenylmethane TeB,546,-0.125 -0.108,145,3.05,46 44
28,LDPE,,632.8 632.8,-0.102,135,,37
29,,,578,-0.103,135,,37
30,,,546,-0.105,135,,37
31,,,436,-0.117,135,,37
32,(SRM 1476),,632.8,-0.091,135,4.3,45
33,,,632.8,-0.091,140,0.42,47
34,,ODeB,632.8,-0.051,145,1.71,44
35,,l-chloronaphthalene,589.0,-0.104,138,,29
36,,,632.8,-0.185,145,0.87,44
37,,,632.8,-0.178,135,,37
38,,,578,-0.184,135 135,,37
39,,,546,-0.189,,,37
40,,,546,-0.195,125,,48
41,,,436,-0.212,135,,37
42,(SRM 1476),,589.3,-0.1916,,,8
43,Linear-LDPE,TeB,632.8 632.8,-0.106 -0.106,135 145 145,1.50,"44 49,N"
44,,1-chloronaphthalene,632.8,-0.103,145,,"49,0"
45,,ODeB,632.8,-0.048,145,1.05,44
46,,,632.8,-0.180,145,0.79,44
