,Sample,Solvent,Wave- length (nm),dnldc (mUg),Temp (DC),A2 (x 10 3 ),"Ref, Remark"
0,Polypropylene,1-chloronaphthalene,546,-0.227,125,,10
1,,,546,-0.191,125,,27
2,,,436,-0.228,125,,10
3,(isotactic),,632.8,-0.173,135,,37
4,(isotactic),,578,-0.180,l35,,37
5,(isotactic),,546,-0.184,l35,,37
6,(isotactic),,436,-0.205,135,,37
7,(atactic),,632.8,-0.177,135,,37
8,(atactic),,578,-0.183,l35,,37
9,(atactic),,546,-0.188,135,,37
10,(atactic),,436,-0.211,135,,37
11,,TCB,632.8,-0.095,l35,,50
12,,,632.8,-0.093,145,,49
13,,,632.8,-0.091,145,,20
14,(MW 235800),,632.8,-0.092,145,,51
15,(MW175100),,632.8,-0.094,145,,51
16,(isotactic),,632.8,-0.102,l35,,37
17,(isotactic),,578,-0.105,l35,,37
18,(isotactic),,546,-0.107,l35,,37
19,(isotactic),,436,-0.121,l35,,37
20,(atactic),,632.8,-0.105,l35,,37
21,(atactic),,578,-0.109,l35,,37
22,(atactic),,546 436,-0.111 -0.123,l35 135,,37 37
23,(atactic),DMF,632.8,-0.0505,l35,,52
24,Polyoxymethylene Polyethylene terephthalate,HFIP,632.8,0.257,,2.9,53
25,,HFIP/PFP (5:5),632.8,0.242,,,"53,P"
26,,MCIDCAA (8:2),632.8,0.148,RT,,"18,E"
27,,DCAA,589,0.106,,,"54,Q"
28,,m-cresol,589.0,-0.073,25,,29
29,,a-chlorophenol,589.0,-0.070,,,29
30,Polyamide 6,HFIP,632.8,0.2375,25 25,,55
31,,MC/DCAA (8:2),632.8,0.180,RT,,56
32,,a-chlorophenol,589.0,-0.012,90,,29
33,Polyamide 11,MCIDCAA (8:2),632.8,0.133,RT,,56
34,,HFIP,546,0.25,30,7.8-5.6,57
35,Polyamide 12,MCIDCAA (8:2),632.8,0.l33,RT,,56
36,,HFIP,632.8,0.2212,,,58
37,,,546,0.25,30,,59
38,"Polyamide 6, 6",MC/DCAA (8:2),632.8,0.182,RT,,56
39,(46K),,,0.188,RT,,56
40,(32K),,,0.194,RT,,56
41,,HFIP,632.8,0.241,25,4.8,60
42,,formic acid,632.8,0.l36,25,,60
43,,m-cresol,589.0,-0.016,l30,,29
44,"Polyamide 6, 9",MC/DCAA (8:2),632.8,0.163,RT,,56
