,Sample,Solvent,Wave- length (nm),dn/dc (mUg),Temp (0C),A2 (x 103),"Ref, Remark"
0,"Polyamide 6, 10",MC/DCAA (8:2),632.8,0.163,RT,,56
1,"Polyamide 6, 12",MC/DCAA (8:2),632.8,0.149,RT,,56
2,Polyamide 6T,MCIDCAA (8:2),632.8,0.201,RT,,56
3,Silk (Silkworm),HFIP,632.8,0.236,,,61
4,(Spider),HFIP,632.8,0.235,,,61
5,Polyacrylonitrile,DMF,632.8,0.092,25,,31
6,,,546,0.082,20,,10
7,,,436,0.087,20,,10
8,,dimethylsulfoxide,546,0.031,25,,10
9,,,436,0.029,25,,10
10,,dimethylacetamide,546,0.0769,25,,10
11,,,436,0.0767,25,,10
12,Poly(acrylonitrile-,THF,632.8,0.1546,23,,20
13,styrene) (28.5/71.5) Polyurethane,THF,632.8,0.0863,25,,62
14,Poly(methyl vinyl,cyclohexane,632.8 632.8,0.1469,23,,"20,R"
15,ether) PMVEMA,O.lM tris,,0.050,50,,63
16,,,632.8,0.227,,,"64,S"
17,acetylene),,,,,,
18,Epoxy resin,THF,632.8,0.187,23,,20
19,Phenoxy resin,THF,632.8,0.1773,,,26
20,Polycarbonate,THF,632.8,0.177,,,20
21,,,632.8,0.1855,,,20
22,Polyphosphazene I,THF,632.8,0.160,30,,"66,T"
23,II,,632.8,0.145,30,,"66,T"
24,III,,632.8 632.8,-0.029 -0.023,30 25,1.0,"66,T 67, T"
25,IV,acetone,632.8,0.019,25,5.1,"67, T"
26,,cyclohexanone,632.8,-0.053,40,6.7,"67, T"
27,Poly(ether sulfone),DMF,632.8,0.188,25,,4
28,Polyimide,DMF,632.8,0.208,25,,4
29,,N-methylpyrrolidone,632.8,0.132,,,"68,U"
30,(MW,cone. H 2 S0 4,632.8,0.376,,,"69,V"
31,14300-22600) (MW,,632.8,0.419,,4.3-2.0 1.8-2.7,"69,V"
32,Poly(phenylene sulfide),,,,,,70
33,,l-chloronaphthalene,632.8,0.167,220,,
34,Poly(vinyl butyral),HFlP THF,632.8 632.8,0.189 0.089,25,,"30,J 30,J"
