,Sample,Solvent,Wave- length (nm),dn/dc (mllg),Temp (ac),A2 (x 1Q3),"Ref, Remark"
0,Poly(2-vinylpyridine),benzene,546,0.075,25,,71
1,Poly(4-vinylpyridine),DMF,436,0.160,25,,10
2,,chloroform,436,0.150,25,,10
3,Poly(vinylpyrrolidone),DMF,632.8,0.095,23,,20
4,,chloroform,546,0.108,,,10
5,,,436,0.108,,,10
6,,water,546,0.185,,,10
7,,,436,0.185,,,10
8,6 FDA/p-PDA,N-methylpyrrolidone,632.8,0.107,,,"72,W"
9,6FDA/MDA,,632.8,0.132,,,"72,W"
10,BTDA/DDS,,632.8,0.145,,,"72,W"
11,Methylated humic acid,THF,632.8,0.22,-0.042,,73
12,Benzylated humic acid,THF,632.8,,,,73
13,Hydroxyethyl,,,0.19,-0.041,,74
14,cellulose acetate,THF,488,0.0734,25,,
15,Poly(vinyl acetate),THF,632.8,0.0517,25,,11
16,,,632.8,0.0471,26,,"20,X"
17,,ethyl acetate,632.8,0.0402,26,,"20,Y"
18,,,632.8,0.077,23,,20
19,,acetone,546,0.104 0.104,25 25,,10 10
20,,MEK,436,,25,,10
21,,,546 436,0.080 0.083,25,,10
22,Poly(vinyl alcohol),0.05MNaN0 3 0.05M NaN0,632.8,0.1501 0.1429,27 27,,"75 75,Z"
23,,3,632.8 632.8,,25,,"76,a"
24,,,,0.1501,,,"76,b"
25,,,632.8,0.1429,25,,
26,,O.IM KH 2 P0 4 water,632.8 546,0.1534 0.164,23 30,,20 10
27,,,436,0.168,30,,10
28,Polyacrylamide,water,632.8 632.8,0.1735 0.142,23,,77
29,,,632.8,0.1829,,,"20,C 20,d"
30,,,546,0.163,25,,10
31,,1M NaCI,632.8,0.1587,25,,"20, e"
32,,1M NaCI,632.8 632.8,0.1556,25,,"20,£"
33,,0.1MNazHP0,632.8,0.176,,,
34,,0.02M Na 2 S0 4,,0.163,,,78
35,,,,,23,,"79,g"
36,,,,0.174,23,,"79,h"
37,Poly(acrylamide-co- -sodium acrylate),IMNaCI O.IM NaH 2 P0 4 +,632.8,0.165,,,80
38,,0.3M,Na 2 S0 4,pH 2.2,,,
39,,,632.8,0.16,,,81
40,(70/30),O.IM NaN0 3,632.8,0.165,,,20
41,Sodium polyacrylate,0.3M NaCI,488,0.159,25,,82
42,,O.IMNaCI,632.8,0.175,23,,20
43,,water,632.8,0.1463,23,,
44,,,,,,,"20,i"
