,Polymer,Solvent,Temp (OC),Kx 10 2 (mllg),a,MW range (M x 10- 3,Re- mark,Ref
0,,THF,25,1.012,0.621,,,27
1,,,,18.4,0.58,,,65
2,,,,1.6,0.776,,,67
3,,,30,4.57,0.693,0.5-10 4,,17
4,,,,2.56,0.74,,B,82
5,,,40,3.96,0.697,,L,103
6,,chloroform,30,4.51,0.704,0.19-10 4,,17
7,,,40,5.78,0.67,10-100,,28
8,(cis/trans = 0.8),,30,76.0,0.44,,,
9,(20% cis-20% vinyl),,,25,2.36,0.75,3-6,
10,(8% vinyl),,,4.57,0.693,80-1100,,10
11,(28% vinyl),,,4.51,0.693,20-300,,
12,(52% vinyl),,,4.28,0.693,20-200,,
13,(73% vinyl),,,4.03,0.693,20-200,,
14,SBR(25% styrene),THF,25,4.10,0.693,2.4-40,,
15,,,40,3.18,0.70,70-1000,,28
16,Natural rubber,,,,,,,
17,(poly-cis-isoprene),THF,25,1.09,0.79,10-1000,G,
18,Polyisoprene,THF,25,1.77,0.753,40-500,,10
19,Butyl rubber,THF,25,0.85,0.75,4-4000,,28
20,PDSX,toluene,25,0.828,0.72,,,38
21,,,60,0.977,0.725,,,36
22,,chloroform,30,0.54,0.77,,,38
23,,cydohexane,,0.63,0.77,,,104
24,,,35,,0.50,20-800,,54
25,,ODCB,87,8.19,,,,
26,,,138,3.83,0.57,25-300,M,55
27,Nylon 6,DMAC m-cresol,25 25,1.3 32,0.69 0.62,0.5-5,,105 28
28,,OCP,90,6.2,0.64,,,
29,,HFB,25,4.2,0.76,,,106
30,,TFE,25,4.58,0.742,20-100,,107
31,,,,5.36,0.75,13-100,,108
32,Nylon 66,m-cresol,25,3.53,0.79,0.15-50,,28
33,,,130,4.01,1.00,8-24,B,59
34,,HFIP,,19.8,0.63,,,109
35,Nylon 610,m-cresol,25,1.35,0.96,8-24,,28
36,Nylon 11,m-cresol,30,9.1,0.69,,,110
37,Nylon 12,m-cresol,25,4.6,0.75,10-125,,28
38,,HFIP/,50,6.163,0.6585,,,61
39,,toluene (2: 8),,,,,,
40,Trogamid T,DMF,22,2.737,0.706,,,III
41,TFA-nylon 6,MC,25,3.355,0.64,,N,112
42,,THF,,1.66,0.70,,0,113
43,TFA-nylon 12,MC,30,0.738,0.81,,P,114
44,TFA-Trogamid,THF,25,0.87,0.73,,0,113
45,PET,m-cresol,25,0.077,0.95,,,28
46,,,135,1.75,0.81,27-32,,
47,,,,2.0,0.90,0.45-0.8,,
48,,OCP,23,6.31,0.658,,,115
49,,PTCE,23,7.44,0.648,,,
