solvent,polymer,c_value,v_value,source_paper,table_name
"1,4-dioxane",polyisoprene,-2.0,0.498,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table5
water,fluorescein isothiocyanate-dextran,0.6493348587121419,0.607,1994 - Structural Information on Hyaluronic Acid Solutions As Studied by Probe Diffusion Experiments,table1
water,fluorescein isothiocyanate-dextran,0.4969296480732149,0.629,1994 - Structural Information on Hyaluronic Acid Solutions As Studied by Probe Diffusion Experiments,table1
water,fluorescein isothiocyanate-dextran,0.220108088040055,0.5,1994 - Structural Information on Hyaluronic Acid Solutions As Studied by Probe Diffusion Experiments,table1
deuterium oxide,polyethylene oxide,-7.62,-0.62,1995 - Determination of Molecular Weight Distributions for Polymers by diffusion NMR,table2
trichloroethylene-d2,polyethylene oxide,-7.958607314841775,0.6,2008 - Determination of the Chemical Structure of Poly-β-pinene by NMR Spectroscopy,table5
toluene,polystyrene,-7.7,0.41,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
acetone,poly(methyl methacrylate),-7.7,0.46,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
chloroform-d,polystyrene,-7.7,0.47,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
chloroform-d,poly(methyl methacrylate),-7.7,0.48,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
tetrahydrofuran,polystyrene,-7.7,0.5,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
deuterium oxide,polyethylene oxide,-7.7,0.54,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
deuterium oxide,deuterium oxide,-7.7,0.39,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
acetone,poly(methyl methacrylate),-7.7,0.54,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
water,polyethylene oxide,-7.7,0.55,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
chloroform-d,chloroform-d,-7.7,0.56,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
chloroform-d,polyethylene oxide,-7.7,0.58,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
chloroform-d,poly(methyl methacrylate),-7.7,0.61,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
chloroform-d,polystyrene,-7.7,0.61,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
tetrahydrofuran,polystyrene,-7.7,0.58,2009 - NMR Measure of Translational Diffusion and Fractal Dimension. Application to Molecular Mass Measurement,table2
toluene,linear alkanes,1.423245873936808,0.7092198581560284,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
deuterium oxide,polyethylene oxide,0.6989700043360189,0.5387931034482758,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
chloroform-d,polyethylene oxide,1.0920184707527971,0.5766347595433052,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
acetone,polystyrene,0.8061799739838872,0.4651162790697674,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
chloroform-d,polystyrene,0.8407332346118067,0.4723665564478035,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
chloroform-d,polystyrene,1.4471580313422192,0.6134969325153374,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
toluene,polystyrene,0.6334684555795865,0.4088307440719542,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
tetrahydrofuran,polystyrene,0.9079485216122722,0.496524329692155,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
tetrahydrofuran,polystyrene,1.4668676203541096,0.6218905472636815,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
chloroform-d,poly(methyl methacrylate),0.9052560487484512,0.4833252779120348,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
chloroform-d,poly(methyl methacrylate),1.4487063199050798,0.6064281382656155,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
acetone,poly(methyl methacrylate),0.8750612633917001,0.4599816007359705,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
deuterium oxide,oligosaccharides,0.5763413502057928,0.4828585224529212,2009 - NMR measure of Translational Diffusion and Fractal Dimension. Application to molecular mass measurement - SI,table2
