solvent,polymer,K_value,a_value,source_paper,table_name
"1,4-dioxane","poly(1,4-butadiene)",0.177,0.53,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table3
"1,4-dioxane","poly(1,4-butadiene)",0.184,0.5,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table3
"1,4-dioxane","poly(1,4-butadiene)",0.0387,0.697,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table3
cyclohexane,"poly(1,4-butadiene)",0.0387,0.697,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table4
ethylbenzene,polyisobutylene,0.0113,0.715,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table8
tetrahydrofuran,polyisobutylene,0.00996,0.734,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table8
toluene,polyisobutylene,0.00927,0.734,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table8
benzene,polyisobutylene,0.00987,0.739,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table8
cyclohexane,polyisobutylene,0.0844,0.5,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table8
cyclohexane,polyisobutylene,0.0768,0.508,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table8
toluene,polystyrene,-1.0,-1.0,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table12
ethylbenzene,polystyrene,-1.0,-1.0,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table12
toluene,polystyrene,-1.0,1.07,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table12
tetrahydrofuran,polystyrene,0.00996,0.734,1994 - Molecular Weight Dependence of Hydrodynamic and Thermodynamic Properties for Well-Defined Linear Polymers in Solution,table15
benzene,polystyrene,0.00952,0.744,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table1
benzene,polystyrene,0.0115,0.73,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table1
benzene,polystyrene,0.0113,0.73,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table1
benzene,polystyrene,0.0078,0.75,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table1
benzene,polystyrene,0.0146,0.689,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table2
benzene,polystyrene,0.0141,0.7,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table2
benzene,polystyrene,0.0138,0.7,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table2
benzene,polystyrene,0.039,0.58,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table2
benzene,polystyrene,0.00716,0.76,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table2
benzene,polystyrene,0.021,0.66,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table2
benzene,polystyrene,0.0364,0.584,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table2
toluene,polystyrene,0.00977,0.73,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table3
toluene,polystyrene,0.00881,0.75,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table3
toluene,polystyrene,0.0085,0.74,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table3
toluene,polystyrene,0.0075,0.75,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table3
toluene,polystyrene,0.0134,0.71,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table3
toluene,polystyrene,0.0126,0.71,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table3
"1,2,4-trichlorobenzene",polystyrene,0.0121,0.707,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table4
"1,2,4-trichlorobenzene",polystyrene,0.0172,0.67,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table4
"1,2,4-trichlorobenzene",polystyrene,0.00895,0.727,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table4
"1,2-dichloroethane",polystyrene,0.00021,0.66,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table5
"1,2-dichloroethane",polystyrene,0.0143,0.69,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table5
chloroform,polystyrene,0.00716,0.76,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table5
chloroform,polystyrene,0.0112,0.73,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table5
"N,N-dimethylformamide",polystyrene,0.0318,0.603,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table5
ethylbenzene,polystyrene,0.0176,0.68,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table5
N-methyl-2-pyrrolidone,polystyrene,0.012,0.72,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table5
tetrachloroethane,polystyrene,0.0115,0.73,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table5
cyclohexane,polystyrene,0.0877,0.5,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table6
cyclohexane,polystyrene,0.0846,0.5,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table6
cyclohexane,polystyrene,0.084,0.5,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table6
cyclohexane,polystyrene,0.091,0.5,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table6
2-butanone,polystyrene,0.039,0.58,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table6
2-butanone,polystyrene,0.039,0.58,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table7
"1,2,4-trichlorobenzene",polystyrene,0.0146,0.689,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table8
tetrahydrofuran,polystyrene,0.0141,0.7,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table8
"1,2-dichlorobenzene",polystyrene,0.0138,0.7,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table8
2-butanone,polystyrene,0.039,0.58,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table8
cyclohexane,polystyrene,0.0857,0.5,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table8
cis-decalin,polystyrene,0.0824,0.5,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table8
trans-decalin,polystyrene,0.0805,0.5,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table8
cyclohexane,polystyrene,0.0364,0.584,2009 - The Mark–Houwink–Sakurada Equation for the Viscosity of Atactic Polystyrene,table8
