,guest,host,D G * (10 - 10 m 2 /s),K (M - 1 )
0,Val,α CD,4.01 ± 0.04,16
1,,β CD,3.77 ± 0.44,55
2,,γ CD,3.47 ± 0.25,97
3,,β CDNP 0.9,1.54 ± 0.33,1.07 × 10 3
4,,β CDNP 2.0,0.78 ± 0.05,4.43 × 10 3
5,,β CDNP 2.7,0.90 ± 0.04,6.88 × 10 3
6,,β CDNP 3.0,0.68 ± 0.04,8.35 × 10 3
7,,α CDNP 3.2,"1,75 ± 0.16",0.93 × 10 3
8,,γ CDNP 3.3,0.67 ± 0.05,1.00 × 10 4
9,HVA,β CD,3.65 ± 0.40,0.13 × 10 3
10,,β CDNP 0.9,2.33 ± 0.07,0.48 × 10 3
11,,β CDNP 3.0,1.79 ± 0.08,1.20 × 10 3
12,VMA,β CD,3.78 ± 0.13,0.12 × 10 3
13,,β CDNP 0.9,2.13 ± 0.53,0.84 × 10 3
14,,β CDNP 3.0,1.63 ± 0.55,1.88 × 10 3
