,Sample,Molar masses of the components.M 1,Molar masses of the components.M2,~tw/h4t n.,Volume fraction of the polymer.~b 2,c/c *a.,Critical molar mass of overlapping b.M*,Measured self-diffusion coefficients.D 1 (ms,Measured self-diffusion coefficients.D 2 s-1),Self-diffusion coefficients of the pure componentsc.DPl (ms,Self-diffusion coefficients of the pure componentsc.D~ s-1)
0,la,19000,12000,1.05,0.079,0.375,85000,8.7x 10-11,8.7x 10-11,6.6x 10 TM,9 x 10-It
1,Ib,19000,12000,1.05,0.366,1.6,14500,3.5x 10-12,3.5x 10-12,3.8x 10-12,7.5x 10-12
2,IIa,110000,12000,2.8,0.06,0.63,115000,2.3x 10-11,8x10 -11,2.4x 10-11,4.5x 10-11
3,IIIa,110000,19000,2.0,0.037,0.41,200000,4x10 -11,8x10 -11,3.2x 10-11,5.7x 10 TM
4,lllb,110000,19000,2.0,0.325,3.5,16500,6.0x 10-13,2.7x 10-12,3.5x 10-13,6.0x 10-lz
5,IVa,470000,110000,1.6,0.045,1.3,160000,4.8x 10-12,2.6x 10-11,2.0x 10-12,2.1x 10-11
6,IVb,470000,110000,1.6,0.083,2.4,80000,1.7x 10-12,7.0x 10-12,6.0x 10-13,1.1xl0 TM
7,Va,470000,250000,1.1,0.046,1.6,160000,4.4x 10-12,4.4x 10-12,2.0x 10-12,5.5x 10-12
8,Vb,470000,250000,1.1,0.08,2.7,83000,1.4x 10-12,1.4x 10-12,7x10 -la,2.0x 10-12
9,PS25,/~w = 145000,/~w = 145000,2.0,0.011,,850000,5.5x 10-11,5.5x 10-11,,
10,PS19,,,,0.046,,160000,2.6x 10-11,2.6x 10-11,,
11,PSll,,,,0.20,,29000,2.5x 10-12,2.5x 10-12,,
12,PS9,,,,0.36,,15 000,9 x 10- l*d,9 x 10- l*d,,
