,Reference,M X 10- 5 (g mol-I),[111 (cm 3 g-I),R. (om),RH (om),A2 X lO4 (cm 3 mol g-2)
0,39,1.16,47.8,,9.21,
1,,2.16,75.7,,13.4,
2,,2.75,91.8,20.4,15.0,
3,,6.75,171,32.9,26.1,
4,,8.60,213,38.5,29.9,
5,,,361,59.4,44.0,
6,,17.0,,,,
7,40,2.38,87,,13.4,4.52
8,,4.26,127,27.8,28.4,4.06
9,,12.1,260,51.3,33.5,2.74
10,,31.5,600,99.8,63.0,2.07
11,,54.7,760,123,78.1,1.91
12,42,2.52,95.2,,,4.10
13,,3.41,118,23.3,,3.79
14,,7.65,216,37.5,,3.06
15,,15.7,371,55.4,,2.33
16,,29.3,545,81.9,,2.21
17,62,0.48,23.9,,,5.94
18,,1.17,46.6,,,4.37
19,,2.66,83.3,,,3.59
20,,3.33,99.2,,,3.14
21,,4.99,,30.2,,
22,,5.13,135,,,3.63
23,,7.01,173,,,3.~
24,,7.07,,37.4,,
25,,9.80 10.9,236,45.2,,2.95
26,,18.6,353,66.3,,2.88
27,,31.5,,92.5,,
28,,32.0,541,,,2.26
29,,88.0,,173,,
30,,91.5,1147,,,1.93
31,,232,,303,,
32,,236,2245,,,1.40
33,63,12.9,280,48.6,,2.35
34,,25.8,478,75.0,,1.99
35,,61.2,922,126,,1.64
36,,111,1429,178,,1.34
37,,1'9,1997,218,,1.21
38,64,0.99,,,8.20,6.8
39,,7.83,,38.6,27.0,2.8
40,,12.8,,52.0,36.2,2.7
41,,28.9,,84.4,68.6,2.35
42,65,6.97,,39.2,24.7,
43,,11.3,,:;0.2,31.6,
44,,16.5,,61.9,39.6,
45,,29.3,,89.2,56.3,
46,,38.4,,104,65.0,
47,,60.1,,131,8:5.4,
48,55,0.485,,,5.36,
49,,0.97,,,8.28,
50,,4.24,,28.0,18.5,
51,58,{l.S7,,,5.89,
52,,0.84,,,7.16,
53,,1.25,,,9.07,
54,,2.30 4.60,,,12.6 19.4,
