,Reference,M X 10- 5 (g mol-I),['1')1 (cm 3 g-I),Rg (nm),RH (nm)
0,86,2.04,33.6,,
1,86,3.42,42.0,,
2,86,4.44,4:5.:5,,
3,86,7.68,62.8,,
4,86,11.9,81.1,,
5,86,18.2,98.5,,
6,86,33.0,130,,
7,86,74.7,206,,
8,87,0.59,17.6,,
9,87,1.18,25.0,,
10,87,3.05,40.4,,
11,87,6.65,59.1,,
12,87,9.03,69.5,,
13,87,11.4,76.1,,
14,88,0.49,16.6,,
15,88,1.21,25.3,,
16,88,1.83,33.0,,
17,88,2.68,38.2,,
18,89,0.96,23.3,,
19,89,2.20,36.2,,
20,89,4.80,52.0,19.1,
21,89,6.60,64.5 69.5,22.5,
22,89,8.40,,24.8,
23,89,12.5,90.0,32.8,
24,89,15.4 40.0,101 160,34.6 57.5,
25,91,11.9,,32.4,
26,91,18.2,,39.6,
27,91,33.0,,,
28,91,74.7,,52.2 78.6,
29,92,0.246,,,3.51
30,92,0.71,,,5.58
31,92,1.09,,,7.18
32,92,2.93,,,11.1
33,92,5.84,,,16.1
34,92,7.26,,,17.9
35,92,,,,21.6
36,92,10.1 29.0,,,36.9
37,93,2.04,,,9.44
38,93,4.44,,,13.8
39,93,7.68,,,18.1
40,93,11.9,,,20.5
41,93,18.2,,,27.6
42,93,33.0 74.7,,,37.3 56.2
43,94,0.15,,,2.76
44,94,0.57,,,5.09
45,94,0.96,,,6.84
46,94,2.18,,,10.1
47,94,4.86,,,
48,94,,,,15.1
49,94,8.45,,,20.0
50,90,6.65,,22.7,
51,90,9.03,,26.4,
52,90,11.4,,29.6,
53,90,14.0,,32.6,
54,90,31.0 34.1,,48.8 51.3,
