,Ref.,M X 10- 5 (g mol-I),[11] (em 3 g-I),"R, (run)",RH . (nm),"A2 X 10"" (em 3 mol g-2)"
0,.24,0.111,25.7,,3.14,1.65
1,,0.236,,,,1.47
2,,0.393,,,,1.32
3,,0.394,60.1,,,1.30
4,,0.590,80.4,,7.93,1.20
5,,1.14,125,15.2,11.32,1.05
6,,1.55,,18.7,,1.00
7,,1.64,161,19.3,,0.98
8,,1.80,,20.3,,0.94
9,,2.56,227,26.1,18.3,0.87
10,,3.61,287,32.2,22.1,0.80
11,,7.60,,47.9,,0.69
12,26,0.200,39.3,,,
13,,0.460,69.2,,,
14,,0.710,92.6,,,
15,,1.30,142,,,
16,,3.55,296,,,
17,,5.48,385,,,
18,,9.25,567,,,
19,,37.4,1450,,,
