,Experiment Sample Nucleus observed Pulse sequence n,A b 1 29 Si Oneshot,B c 2 29 Si Oneshot,C c 2 29 Si INEPT-IDOSY,D c 2 1 H Oneshot,E c 3 1 H Oneshot,F c 2 1 H HMQC-IDOSY,G c 2 1 H 1D HMQC-IDOSY,H c 3 1 H HMQC-IDOSY
0,4,4.30  0.22,7.74  0.38,7.74  0.08,,11.51  0.10,7.41  0.12,,11.64  0.34
1,5,3.92  0.09,6.99  0.10,6.98  0.06,(7.30)  0.06,10.46  0.10,6.75  0.02,(7.11  0.06),10.51  0.26
2,6,3.65  0.11,6.63  0.05,6.51  0.06,6.60  0.08,9.71  0.08,6.22  0.03,6.51  0.07,9.93  0.21
3,7,3.30  0.07,6.13  0.08,6.17  0.07,5.95  0.12,9.03  0.10,5.60  0.03,6.05  0.07,9.19  0.25
4,8,3.11  0.07,5.76  0.26,5.84  0.07,5.70  0.06,8.40  0.12,5.26  0.04,5.58  0.08,8.64  0.19
5,9,2.95  0.06,5.48  0.33,5.48  0.14,5.29  0.11,8.07  0.12,5.13  0.05,5.25  0.09,8.07  0.17
6,10,2.80  0.12,5.19  0.27,5.25  0.10,5.10  0.08,7.65  0.09,4.85  0.05,4.95  0.09,7.68  0.14
7,11,2.72  0.08,4.97  0.30,5.02  0.13,4.89  0.07,7.35  0.11,4.50  0.03,4.80  0.09,7.39  0.10
8,12,2.65  0.10,4.81  0.17,4.81  0.12,4.56  0.10,7.13  0.10,4.23  0.03,4.63  0.07,6.99  0.17
9,13,2.54  0.05,4.64  0.18,4.60  0.10,(4.32  0.09),6.80  0.10,4.03  0.02,4.32  0.09,6.69  0.26
10,14,2.45  0.07,4.37  0.14,4.40  0.09,(4.06  0.06),6.46  0.11,(3.99  0.03),(4.21  0.06),6.35  0.22
11,15,(2.18  0.07),(4.36  0.17),(4.11  0.07),(3.78  0.02),6.11  0.09,(3.72  0.02),(3.86  0.09),6.12  0.08
12,16,,(4.07  0.13),(3.91  0.08),(3.68  0.04),(5.67  0.09),(3.48  0.03),(3.48  0.06),(5.43  0.49)
13,17,,,,,(5.32  0.09),,,(5.72  0.11)
14,18,,,,,(4.80  0.19),,,(5.50  0.68)
