,Samples,D(m 2 /s).,CalculatedMW,Monomeric units
0,PBP 160 kGy PBP 300 kGy PBP 600 kGy PBP 1000 kGy PBP 2000 kGy PBP cationic catalysis PBP free radical PBP Ziegler Natta PBP cationic catalysis,(2.07 ± 0.05)10 - 10 (1.84 ± 0.06)10 - 10 (1.81 ± 0.06)10 - (1.60 ± 0.03)10 - (1.56 ± 0.04)10 - (1.25 ± 0.03)10 - (1.88 ± 0.04)10 - (9.6 ± 0.2)10 - 11,678,5
1,,,834,6
2,,10,859,6
3,,10,1066,8
4,,10,1115,8
5,,10,1646,12
6,initiator,10,803,6
7,,,2619,19
8,0.4 mg/0.7 ml,(1.24 ± 0.03)10 - 10,1670,12
9,PBP cationic catalysis . 0.2 mg/0.7 ml,(1.25 ± 0.03)10 - 10,1646,12
