,protein,mol. weight,(kD),Prot. Diff. ( µ m 2 s - 1,Tris Diff. ( µ m 2 s - 1
0,Charybdotoxin,4.190,,148.8 ± 2.2,530.0
1,BPTI,6.517,,120.1 ± 5.2,491.0
2,Neurotoxine α,6.795,,116.3 ± 3.1,533.0
3,Cardiotoxine γ,6.827,,116.1 ± 3.9,560.0
4,Ubiquitine,8.565,,111.4 ± 1.9,513.0
5,Thioredoxine,11.600,,101.8 ± 8.6,530.0
6,Cytochrome C,12.380,,99.8 ± 1.2,520.0
7,Ribonuclease A,13.700,,94.1 ± 1.6,553.0
8,Lysozyme,14.600,,95.0 ± 2.0,519.0
9,Myoglobine,16.900,,89.3 ± 2.9,561.0
10,β -lactoglobuline A,17.675,,81.5 ± 5.2,558.0
11,Chymotrypsinogen A,25.000,,76.0 ± 2.0,570.0
12,Ovalbumine,43.000,,60.1 ± 1.8,569.0
13,Glutathione,,,,
14,S transferase dimer,52.000,,55.7 ± 3.6,548.0
15,MOMP,120.000,,47.0 ± 2.5,570.0
