,molecular family,reference,C r,d F
0,Linear alcanes,toluene,26.5 ± 5.6,1.41 ± 0.08
1,PEO in D 2 O,HDO,5.00 ± 0.13,1.856 ± 0.010
2,PEO in CDCl 3,TMS,12.36 ± 0.31,1.7342 ± 0.0085
3,PS in acetone,TMS,6.4 ± 1.5,2.15 ± 0.13
4,PS in CDCl 3 below 20 kD,TMS,6.93 ± 0.54,2.117 ± 0.042
5,PS in CDCl 3 above 20 kD,TMS,28.0 ± 3.2,1.630 ± 0.024
6,PS in toluene,toluene,4.30 ± 0.44,2.446 ± 0.070
7,PS in THF below 30 kD,TMS,8.09 ± 0.80,2.014 ± 0.048
8,PS in THF above 30 kD,TMS,29.3 ± 2.7,1.608 ± 0.018
9,PMMA in CDCl 3 below 30 kD,TMS,8.04 ± 0.72,2.069 ± 0.042
10,PMMA in CDCl 3 above 25 kD,TMS,28.1 ± 2.7,1.649 ± 0.022
11,PMMA in acetone below 30 kD,TMS,7.5 ± 1.2,2.174 ± 0.080
12,PMMA in acetone above 25 kD,TMS,17.3 ± 1.8,1.836 ± 0.030
13,small molecules in D 2 O,HDO,5.17 ± 0.59,1.836 ± 0.072
14,small molecules in CDCl 3,TMS,11.92 ± 0.72,1.772 ± 0.035
15,globular proteins,Tris,7.2 ± 1.3,2.56 ± 0.13
16,oligosaccharides,HDO,3.77 ± 0.34,2.071 ± 0.039
17,denatured peptide,dioxan,16.1 ± 4.4,1.715 ± 0.091
