,,Mixture 1.D,Mixture 1.x,Mixture 2.D,Mixture 2.x
0,D = 100 ms,2.89,60.7,2.92,85.9
1,,0.21,39.3,0.24,14.1
2,D = 200 ms,2.91,60.5,2.93,85.7
3,,0.21,39.5,0.24,14.3
4,D = 300 ms,2.94,60.3,2.91,85.8
5,,0.21,39.7,0.23,14.2
6,D = 400 ms,2.94,60.6,2.91,85.6
7,,0.21,39.4,0.23,14.4
8,D = 500 ms,2.92,60.4,2.91,85.7
9,,0.21,39.6,0.23,14.3
10,D = 600 ms,2.92,60.2,2.91,85.9
11,,0.21,39.8,0.23,14.1
12,Average ± SD,2.92 ± 0.02,60.5 ± 0.2,2.92 ± 0.01,85.8 ± 0.1
13,,0.21 ± 0.01,39.5 ± 0.2,0.23 ± 0.01,14.2 ± 0.1
