,property,PDMS 232k ( T = 389 K),PDMS 232k ( T = 389 K),PDMS 232k ( T = 389 K),PDMS 232k ( T = 389 K),PB 196k ( T = 391 K),PB 196k ( T = 391 K),PB 196k ( T = 391 K),PB 196k ( T = 391 K)
0,τ 1 [ms],20,,,,43,,,
1,D [m 2 s - 1 ],1.3 × 10 -,14,,,1.8 × 10 - 15,,,
2,⟨ r 2 ( τ 1 ) ⟩ [nm 2 ],1500,,,,450,,,
3,⟨ R 0 2 ⟩ [nm 2 ],1100,,,,1700,,,
4,,ex,imental (present work),fro,lite ure,experimental (present work),fro,lite,ure
5,a 0 [nm],4.8,,7.9,7.2,3.2,,3.2,4.4
6,b [nm],1.6,,1.3,,0.5,,1.0,
7,M 0 = [g mol - 1 ],381,,,,113,,,
8,M e = [g mol - 1 ],12k,,,,1.9k,,,
9,N e = M / M e,31,,,,17,,,
10,N = M / M 0,609,,,,1735,,,
11,T g [K],150,,,,"180, 177,",175,,
12,n s [10 28 m - 3 ],4.70,,,,5.75,,,
