,Sample..Name,Time.(min),NMR.Conversion %.,SEC.M w.(g mol - 1 ),SEC..Đ,NMR DOSY.D × 10 10 a (m 2 s - 1 ).,NMR DOSY.M w b (g.PMMA,NMR DOSY.M w b (g.PS
0,PMMA,10,28.8,13 800,1.60,1.13,15 500,15 800
1,,60,27.9,14 600,1.43,1.14,15 200,15 200
2,,120,27.9,15 000,1.40,1.15,15 000,15 000
3,,150,27.7,13 500,1.63,1.15,15 000,15 000
4,,180,28.8,13 500,1.56,1.14,15 200,15 200
5,,240,28.3,16 800,1.30,1.08,16 900,16 900
6,P(MMA- co -S),10,7.5,3900,1.68,2.28,4680,4100
7,,60,15.7,6900,1.26,1.90,6430,5900
8,,120,22.7,8500,1.26,1.45,10 300,9700
9,,150,26.7,9500,1.23,1.37,11 300,10 800
10,,180,30.8,10 300,1.24,1.32,12 000,11 600
11,,240,36.7,12 600,1.19,1.16,15 200,14 700
12,P(MMA- b -BA),30,0,16 400,1.34,1.10,16 600,16 600
13,,60,0,16 400,1.35,1.09,16 800,16 800
14,,150,0,16 750,1.34,1.12,16 200,16 200
15,,240,1.4,18 300,1.29,1.09,16 800,16 800
16,P(MMA- co -S)- b -PBA,30,7.5,15 300,1.18,1.13,15 800,15 800
17,,60,12.2,17 700,1.18,1.05,17 900,17 800
18,,150,30.4,25 000,1.20,0.87,25 000,25 300
19,,240,42.8,32 900,1.18,0.76,31 000,32 600
