,,SEC-MALS.M n [g mol - 1 ],SEC-MALS.M w [g mol - 1 ],SEC-MALS.PDI [-],DOSYNMR.M n [g mol - 1 ],DOSYNMR.M w [g mol - 1 ],DOSYNMR.PDI [-],DOSYNMR.D [m 2 s - 1 ]
0,PET,standards,standards,standards,standards,standards,standards,standards
1,PSS-pet3.5k,2000,3760,1.88,2206,4537,2.06,1.33 × 10 - 10
2,PSS-pet10k,5420,9900,1.83,5053,10 240,2.03,8.54 × 10 - 11
3,PSS-pet18k,10 050,18 190,1.81,8478,17 010,2.01,6.47 × 10 - 11
4,PSS-pet25k,12 950,23 720,1.83,12 055,24 040,1.99,5.36 × 10 - 11
5,PSS-pet35k,20 500,37 770,1.84,19 499,38 540,1.98,4.14 × 10 - 11
6,PSS-pet50k,28 500,51 920,1.82,26 594,52 270,1.97,3.51 × 10 - 11
7,PSS-pet75k,36 360,73 230,2.01,39 587,77 240,1.95,2.84 × 10 - 11
8,Commercial PET bottles,Commercial PET bottles,Commercial PET bottles,Commercial PET bottles,Commercial PET bottles,Commercial PET bottles,Commercial PET bottles,Commercial PET bottles
9,PET bottle 1,28 061,57 050,2.03,29 020,56 875,1.96,3.35 × 10 - 11
10,PET bottle 2,28 879,58 380,2.02,29 650,58 110,1.96,3.31 × 10 - 11
11,PET bottle 3,31 515,60 900,1.93,31 500,61 753,1.96,3.21 × 10 - 11
12,PEF synthesis products,PEF synthesis products,PEF synthesis products,PEF synthesis products,PEF synthesis products,PEF synthesis products,PEF synthesis products,PEF synthesis products
13,PEF1,10 600,19 420,1.83,9099,17 670,1.94,6.31 × 10 - 11
14,PEF2,17 490,32 740,1.87,17 454,33 850,1.94,4.44 × 10 - 11
15,PEF3,21 760,39 910,1.83,21 397,41 480,1.94,3.98 × 10 - 11
16,PEF4,31 490,61 130,1.94,31 807,61 600,1.94,3.22 × 10 - 11
17,PEF5,34 110,72 420,1.94,37 333,72 270,1.94,2.95 × 10 - 11
18,PEF from reactor (X = 43.4%),16 100,31 900,1.98,16 600,32 200,1.94,4.57 × 10 - 11
