,Run #.Run #,Factors.d1 (s),Factors.τ E ( μ s),Factors.n,Factors.MWPEG (Da),Factors.PEG (wt%),Responses.SNR H2 (decrease %),Responses.PEG area (signal left %),Responses.DMT/TMB ratio (variation %)
0,1,2,640,120,"41,500",10,35.7,99.0,- 8.1
1,2,8,200,420,"22,500",5,32.5,90.5,0.0
2,3,8,350,320,300,10,36.4,63.7,5.0
3,4,15,350,120,"22,500",5,38.7,93.0,2.4
4,5,20,400,420,"22,500",7.5,3.5,80.6,2.0
5,6,10,640,320,"1,000",7.5,0.1,84.3,1.9
6,7,20,100,220,300,5,45.3,87.3,13.9
7,8,20,640,620,300,5,53.3,70.7,4.2
8,9,2,100,120,"41,500",5,47.9,106.2,- 0.7
9,10,2,640,120,300,5,49.5,99.1,14.4
10,11,8,350,320,300,10,28.8,64.5,- 1.4
11,12,20,640,120,300,10,42.1,66.3,- 0.9
12,13,20,640,620,"41,500",10,21.5,55.5,- 3.2
13,14,2,100,620,300,5,50.8,100.1,2.6
14,15,2,100,620,"41,500",10,45.7,97.4,- 0.7
15,16,20,400,420,"22,500",7.5,23.2,82.2,5.2
16,17,10,100,120,300,7.5,63.5,74.0,7.6
17,18,10,640,320,"1,000",7.5,8.6,82.9,1.4
18,19,15,400,120,"22,500",10,23.4,93.1,- 3.0
19,20,20,100,620,300,10,53.9,68.3,0.6
20,21,10,350,620,"41,500",7.5,42.6,74.6,4.3
21,22,2,640,620,300,10,67.9,54.8,- 7.0
22,23,10,640,420,"22,500",5,33.5,79.0,- 1.0
23,24,20,100,120,"41,500",10,40.3,95.8,- 6.0
24,25,20,400,420,"22,500",7.5,10.7,82.4,4.6
25,26,2,600,620,"41,500",5,43.6,75.2,- 4.3
26,27,20,640,120,"41,500",5,30.0,92.7,- 1.2
27,28,10,350,620,"6,000",7.5,44.2,77.9,- 8.6
28,29,20,100,620,"41,500",5,41.9,89.0,4.6
29,30,2,100,120,"11,600",10,46.5,106.4,- 3.9
30,31,10,640,420,"22,500",5,32.5,79.0,- 2.4
