,Source,Sum of squares,df,Mean square,F value,p value Prob > F,
0,Model,4698.29,8,587.29,13.15,1.93E-06,Significant
1,A-d1,263.80,1,263.80,5.91,0.02,
2,B- τ E,172.86,1,172.86,3.87,0.06,
3,C- n,110.45,1,110.45,2.47,0.13,
4,D-MW PEG,899.14,1,899.14,20.14,2.25 E-04,
5,AB,145.87,1,145.87,3.27,0.09,
6,A 2,204.40,1,204.40,4.58,0.04,
7,B 2,655.51,1,655.51,14.68,1.04E-03,
8,C 2,1049.51,1,1049.51,23.51,9.75E-05,
9,Residual,892.94,20,44.65,,,
10,Lack of fit,665.78,17,39.16,0.52,0.84,Not significant
11,Pure error,227.16,3,75.72,,,
12,Cor total,5591.23,28,,,,
