,Run #.Run #,Factors.d1 (s).d1 (s),Factors.τ E ( μ s).τ E ( μ s),Factors.n.n,Factors.MWPS(Da).MWPS(Da),Factors.PS wt%.PS wt%,Responses.SNR H3 (decrease %).SNR H3 (decrease %),Responses.PS area (signal left %).Arom,Responses.PS area (signal left %).Aliph,Responses.DMT/TMB ratio (variation %).DMT/TMB ratio (variation %)
0,1,2,100,120,"629,500",5,58.5,96.6,73.5,- 3.2
1,2,8,150,120,"68,900",10,22.2,90.2,61.7,1.2
2,3,10,300,520,"68,900",7.5,34.0,45.4,5.3,1.2
3,4,20,100,320,"30,300",7.5,13.3,85.0,46.8,2.0
4,5,2,400,320,"220,500",7.5,43.3,51.0,6.7,4.3
5,6,20,400,120,"220,500",7.5,40.1,78.8,31.4,- 1.3
6,7,15,200,620,"220,500",10,55.7,48.4,5.8,20.2
7,8,10,350,320,"629,500",7.5,37.5,53.9,6.6,- 1.6
8,9,2,550,620,"629,500",5,70.1,20.1,1.4,- 6.4
9,10,20,600,320,"30,300",10,46.5,38.3,3.8,- 8.1
10,11,10,640,520,"220,500",7.5,55.0,18.3,1.3,- 20.0
11,12,10,200,420,"220,500",5,44.3,64.2,17.4,2.7
12,13,20,640,320,"629,500",5,66.4,35.7,3.0,- 5.0
13,14,10,200,420,"220,500",5,44.2,64.0,17.3,2.4
14,15,20,400,120,"220,500",7.5,35.8,77.3,30.7,- 0.6
15,16,8,640,120,"30,300",5,33.7,70.2,24.3,1.3
16,17,20,100,220,"629,500",10,42.7,86.1,43.6,- 5.2
17,18,20,450,620,"30,300",5,47.2,28.6,2.6,1.1
18,19,2,100,620,"30,300",7.5,17.8,73.1,24.7,8.0
19,20,2,100,520,"629,500",10,31.6,68.2,16.0,4.3
20,21,20,100,620,"629,500",5,46.3,71.2,20.6,- 4.8
21,22,20,600,620,"629,500",10,64.4,11.4,1.2,- 34.5
22,23,10,640,520,"220,500",7.5,49.9,18.4,1.4,- 18.8
23,24,20,100,620,"220,500",5,40.8,71.4,22.5,- 4.0
24,25,15,640,220,"68,900",7.5,40.3,47.6,6.6,- 4.2
25,26,10,350,320,"629,500",7.5,37.0,53.4,6.0,- 0.2
26,27,2,400,320,"220,500",7.5,40.2,50.9,6.4,3.7
27,28,10,250,520,"629,500",5,23.1,50.6,7.1,1.8
28,29,2,550,620,"30,300",10,38.3,19.0,1.3,- 4.1
29,30,2,640,120,"629,500",10,41.8,59.9,10.5,4.0
30,31,2,100,120,"30,300",5,31.0,95.1,75.9,6.6
