,solvent,i for n -C i solutes,T ( ° C)
0,n -C 6,"32, 24, 18, 16, 12, 10, 8, 7, 6, 5",25.0
1,n -C 7,"18, 16, 14, 12, 10, 8, 7, 6",25.0
2,n -C 8,"32, 24, 16, 14, 12, 8",25.0
3,n -C 10,"16, 7",25.0
4,n -C 12,"18, 16, 12, 8, 7, 6",25.0
5,n -C 14,"8, 7",25.0
6,n -C 16,"16, 12, 10, 8, 7, 6",25.0
7,benzene,"32, 29, 28, 18, 14, 12, 10, 9, 8, 7, 6, 5",22.2
8,benzene,"20, 18, 14, 10, 5",20.0
9,toluene,"26, 22, 18, 14, 10, 6","27.0, 50,0, 75.0, 100.0"
10,tetralin,"28, 18, 14, 12, 9, 7, 6, 5",22.2
11,decalin,"28, 18, 14, 12, 10, 9, 8, 7, 6, 5",22.2
12,CCl 4,"32, 28, 22, 20, 18, 16, 12, 10, 8, 7, 6, 5",25.0
13,CCl 4,"26, 18, 14, 10, 6","20.5, 35.0, 50.0, 64.0"
