,,,copolymer,copolymer,copolymer,PS signals,PS signals,PS signals,PMMA signals,PMMA signals,PMMA signals
0,PS- b -PMMA,method,M n,M w,PDI,M T n,M T w,PDI,M T n,M T w,PDI
1,pp50k,SEC-UV-RI,45500,48600,1.07,,,,,,
2,,DOSY-ILT,42200,44500,1.05,39900,42400,1.06,45200,46800,1.03
3,pp81k,SEC-UV-RI,82500,88200,1.07,,,,,,
4,,DOSY-ILT,81100,89400,1.10,75200,86300,1.15,85900,91700,1.07
5,pp84k,SEC-UV-RI,78600,84300,1.07,,,,,,
6,,DOSY-ILT,79200,84800,1.07,77200,83000,1.07,82700,87900,1.06
7,pp108k,SEC-UV-RI,85900,97900,1.14,,,,,,
8,,DOSY-ILT,94400,102000,1.08,97000,105000,1.08,90900,100000,1.10
9,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.,a DOSY signals of the PS and PMMA blocks were analyzed independently to determine the true molar mass distribution of the copolymers.
