,Polymer,Sample,M p,M w,M n,PDI
0,PS,ps1.2k,1306,1220,1120,1.09
1,PS,ps3.2k,3500,3510,3350,1.05
2,PS,ps9k,8680,8670,8420,1.03
3,PS,ps18k,19700,19100,18200,1.05
4,,ps33k,34800,34000,32700,1.04
5,,ps62k,66000,62500,59300,1.05
6,PEO,peg1k,1030,1020,978,1.04
7,PEO,peg3k,3450,3450,3340,1.03
8,PEO,peg6k,6530,6200,5860,1.06
9,PEO,peg12k,12600,11400,10300,1.11
10,,peg26k,26100,25800,22100,1.17
11,,peg42k,42700,40100,30700,1.31
12,,mm2.1k,2160,2130,1920,1.11
13,PMMA,mm6.5k,5980,5930,5590,1.06
14,,mm12.5k,12900,12800,12300,1.04
15,,mm21k,22800,21200,18700,1.13
16,,mm40k,41400,40300,38100,1.06
17,,mm85k,88500,86700,83700,1.04
