,H 2 O.Sample,I (20 1 C),I (40 1,C) t (ns) b (20 1 C),b.t (ns) (40 1 C),b.t C (ns) (20 1 C)
0,1,44300,47000,4.69  0.16,4.69  0.16,3.29  0.53
1,2,29400,55200,4.44  0.15,4.38  0.17,2.26  0.16
2,3,29300,46500,4.03  0. 06,4.23  0.06,8.55  2.73
3,4,16540,72220,4.29  0.16,4.40  0.13,12.45  3.12
4,PBS,PBS,PBS,PBS,PBS,PBS
5,Sample,I (20 1 C),I (40 1,C) t (ns) b (20 1 C),t (ns) b (40 1 C),t C (ns) b (20 1 C)
6,1,39700,39400,4.62  0.18,4.54  0.15,4.46  1.02
7,2,28700,32300,4.46  0.06,4.32  0.06,1.62  1.83
8,3,13800,18500,4.07  0.15,4.05  0.15,2.73  4.36
9,4,14810,16900,2.45  0.15,3.37  0.16,7.34  2.05
