,Sample,Method,M w [g · mol - 1 ],Rel. Diff. [%],M n [g · mol - 1 ],Rel. Diff. [%],Ð
0,PS10k,SEC,9 460,-,9 220,-,1.03
1,,NMR / monoexp.,9 790,3.49,9 790,6.18,1.00
2,,NMR / ILT,9 720,2.75,9 624,4.38,1.01
3,PS17k,SEC,17 300,-,16 900,-,1.03
4,,NMR / monoexp.,17 000,- 1.73,17 000,0.59,1.00
5,,NMR / ILT,19 000,9.83,18 700,10.65,1.02
6,PS63k,SEC,62 600,-,58 500,-,1.03
7,,NMR / monoexp.,61 200,- 2.24,61 200,4.62,1.00
8,,NMR / ILT,63 700,1.76,61 400,4.96,1.04
9,PS123k,SEC,123 000,-,117 000,-,1.05
10,,NMR / monoexp.,117 000,- 4.88,117 000,0.00,1.00
11,,NMR / ILT,116 000,- 5.69,113 000,- 3.41,1.03
12,PS271k,SEC,271 000,-,260 000,-,1.04
13,,NMR / monoexp.,244 000,- 9.96,244 000,- 6.15,1.00
14,,NMR / ILT,269 000,- 0.74,256 000,- 1.54,1.05
15,PS516k,SEC,516 000,-,451 000,-,1.14
16,,NMR / monoexp.,445 000,- 13.76,445 000,- 1.33,1.00
17,,NMR / ILT,510 000,- 1.16,473 000,4.88,1.08
18,PS931k,SEC,931 000,-,790 000,-,1.18
19,,NMR / monoexp.,938 000,0.64,938 000,18.61,1.00
20,,NMR / ILT,1 240 000,33.19,985 000,24.68,1.26
