,Sample name..,Monomodal components..M w,Monomodal components..X w,"Bimodal samples, blends of 2 monomodal components.SEC.M wi","Bimodal samples, blends of 2 monomodal components.SEC.X w","Bimodal samples, blends of 2 monomodal components.ILT.M wi","Bimodal samples, blends of 2 monomodal components.ILT.X w","Bimodal samples, blends of 2 monomodal components.biexp. fit.M wi","Bimodal samples, blends of 2 monomodal components.biexp. fit.X w"
0,PS271k/PS10k,10,50,9,53,10,49,9,55
1,,271,50,252,47,295,51,290,45
2,PS271k/PS10k,10,30,10,34,8,29,8,37
3,,271,70,256,66,276,71,252,63
4,PS271k/PS10k,10,70,10,71,10,65,9,72
5,,271,30,276,29,226,35,208,28
6,PS63k/PS17k,17,50,17,52,18,54,17,58
7,,63,50,63,48,72,46,67,42
8,PS17k/PS10k,10,50,9,45,6,92,13,96
9,,17,50,18,55,15,8,19,4
