,Polymer,Solvent,Temp (0C),Kx lO2 (ml/g),a,MW range (M x 10- 3 ),Re- mark,Ref
0,Polystyrene,THF,20,1.55,0.692,,,
1,,,23,0.682,0.766,50-lO00,A,2
2,,,25,1.11,0.725,,B,3
3,,,,1.60,0.706,>3,,4
4,,,,1.17,0.725,,B,5
5,,,,1.17,0.717,,B,6
6,,,,1.25,0.707,,,7
7,,,,1.68,0.69,,,8
8,,,,1.41,0.70,,,9
9,,,,1.25,0.717,,,lO
10,,,,1.42,0.70,,,11
11,,,,1.16,0.724,,,12
12,,,,1.28,0.70,,,13
13,,,,0.609,0.768,,,14
14,,,30,1.76,0.679,,,15
15,,,,0.86,0.74,,B,16
16,,,,1.05,0.731,36-10 4,,17
17,,,,1.57,0.698,,,18
18,,,,1.05,0.731,,B,19
19,,,,1.62,0.701,,B,20
20,,,,1.112,0.723,,,21
21,,,,1.28,0.712,> 10 4,C,22
22,,,,17.1,0.428,< 10 4,,
23,,,31.15,1.25,0.717,4-1800,,23
24,,,35,1.258,0.715,,,24
25,,,,1.580,0.704,,,25
26,,,,1.60,0.703,,,26
27,,,38,1.247,0.720,,,27
28,,,40,1.90,0.68,,,28
29,,,,1.31,0.719,19.1-1110,B,29
30,,,,1.51,0.706,5.11-1030,A,
31,,benzene,25,1.13,0.73,,,30
32,,,30,1.623,0.695,5-400,,31
33,,toluene,25,1.05,0.73,,,32
34,,,,0.662,0.76,,,33
35,,,,11.4,0.470,< 9000,,34
36,,,,1.06,0.728,> 9000,,
