,Sample,Solvent,Wave- length (nm),dn/dc (ml!g),Temp (DC),Az (x W),"Ref, Remark"
0,Polystyrene,MC/DCAA (8:2),632.8,0.156,,,"18,E"
1,Polystyrene,ethyl benzoate,632.8,0.103,15,,19
2,Polystyrene,dimethyl-,632.8,0.165,20,,7
3,Polystyrene,formamide (DMF),632.8,0.159,,,"20,F"
4,Polystyrene,tetrachloroethylene (TCE),632.8,0.0934,25,,21
5,,p-dioxane,546.0,0.152,35,,22
6,(star),,546.0,0.168,35,,22
7,,cydohexane,546.0,0.170,35,,22
8,(star),,546.0,0.168,35,,22
9,Poly(dimethylsiloxane),TCE,632.8,-0.0932,25,,21
10,,toluene,632.8,-0.0913,26,,20
11,,,632.8,-0.0648,26,,20
12,Poly(styrene-,DMF/LiBr,546,0.170,30,,23
13,divinylbenzene),THF,546.1,0.1963,30,,24
14,Poly(styrene-,ethyl benzoate,632.8,0.0398,15,,"19,G"
15,methyl methacrylate) Poly(methyl,THF,632.8,0.083,25,0.2,25
16,methacrylate),,632.8,0.084,,,"26,H"
17,,,632.8,0.084,,,13
18,,,632.8,0.084,,,14
19,,,632.8,0.084,,,27
20,,,632.8,0.09,,,28
21,,,589,0.0865,23,,29
22,,,546,0.0871,25,,10
23,,HFIP,436,0.0887 0.190,25 25,,"10 30, J"
24,,,632.8 632.8,0.190,,,27
25,,toluene,546,0.0157,25,,10
26,,,488,0.010,18,,19
27,,,439,0.0094,25,,10
28,,DMF,632.8 546,0.053 0.1140,25,,31 9
29,,MEK,546,0.1173,25,,10
30,,,436,0.100,,,
31,,,,-0.010,25,,10
32,,benzene,546.0,,,,9
33,,,546.0,-0.011 -0.0039,25,,10
34,,,436,0.023,25,,10
35,,CCl 4,546.0,,,,9
36,,acetone,546.0,0.1340,,,9
37,Poly(ethyl,MEK,546.0,0.104,23,,10
38,methacrylate),ethyl acetate,436,0.109,25,,10
39,Poly(n-butyl,MEK,546.0,0.102,25,,10
40,methacrylate),benzene,436,0.103,25,,10
41,,,546.0,-0.014,25,,10
42,,,436,-0.023,25,,10
