,Polymer,Solvent,Temp (OC),K x 10 2 (m1!g),a,MW range (M x 10- 3 ),Re- mark,Ref
0,,,30,1.786,0.680,5-2000,,31
1,,,,1.20,0.714,17 _10 4,,17
2,,,,9.86,00499,0.56-17,,
3,,,,1.57,0.695,,B,35
4,,,60,0.797,0.75,,,36
5,,,68,1.528,0.691,,,15
6,,chloroform,25,0.716,0.76,100-2800,,37
7,,,30,1.36,0.708,24-10 4,,17
8,,,,11.1,0.502,0.16-24,,
9,,,,0049,0.796,,,38
10,,p-dioxane,30,2.241,0.655,5-100,,31
11,,MC,25,1.533,0.695,,,39
12,,,30,1.157,0.7l8,,,40
13,,MC/DCA,30,104,0.70,,D,41
14,,cyclohexane,34.5,8.3,0.50,,B,35
15,,,44.5,2.30,0.608,,B,
16,,cyclohexanone,40,3.02,0.643,,E,42
17,,MEK,30,1.79,0.642,,B,35
18,,DMF,20,2040,0.63,,,43
19,,,30,2.606,0.612,5-400,,31
20,,DMF+,60,1.30,0.662,,,44
21,,O.OlM LiBr,,,,,,
22,,DMF,135,2.80,0.606,,,45
23,,OCP,25,14.3,00488,,,46
24,,,90,1.2,0.70,,,28
25,,TCB,127,1.21,0.7l,,,47
26,,,130,0.895,0.727,,A,2
27,,,135,1.21,0.707,,,48
28,,,,1.72,0.67,,,49
29,,,140,1.90,0.655,,,50
30,,,,1.34,0.70,,,51
31,,,145,4.14,0.610,,,52
32,,,,3.53,0.617,,,
33,,,,1.75,0.67,,,53
34,,ODCB,87,1.0,0.73,,B,54
35,,,135,1.156,0.715,,,22
36,,,,1.38,0.70,2-900,,55
37,,,,4.87,0.606,,,56
38,,,,1.51,0.693,,,57
39,,,138,1.38,0.7,,F,58
40,,m-cresol,130,0.846,0.715,,B,59
41,,,135,2.02,0.65,4-200,,28
42,,cis-decalin,25,4.0,0.574,20-24000,B,60
43,,HFIP/,50,1.795,0.657,,,61
44,,toluene (2:8),,,,,,
45,,Pheno1!TCB (1:1),135,1.303,0.69,,,62
46,,CNP,208,1.86,0.657,,,63
47,PMS,THF,25,4.2,0.608,,,11
48,,TCB,135,1.61,0.672,,,48
