,Polymer,Solvent,Temp (DC),K x 10 2 (ml/g),a,MW range (M x 10- 3 ),Re- mark,Ref
0,PVC,THF,25,1.63,0.766,20-170,,4
1,,,,1.50,0.77,20-100,B,6
2,,,,7.2,0.61,27-100,,8
3,,,,4.48,0.70,,,14
4,,,,1.6,0.77,,G,64
5,,,,4.76,0.673,,,65
6,,,30,1.60,0.77,100-1000,B,5
7,,,35,1.556,0.690,,,24
8,,,,1.8,0.76,,B,66
9,,TCB,110,1.61,0.762,,,67
10,PVAc,THF,25,3.50,0.63,10-1000,B,5
11,,,,0.942,0.737,,,12
12,,,,0.51,0.791,,,68
13,,,,1.6,0.70,,,69
14,,,30,1.49,0.698,,,70
15,,,35,1.56,0.708,,,7l
16,,TCB,135,1.37,0.687,,,70
17,PMMA,THF,23,0.93,0.69,,,8
18,,,25,1.28,0.69,150-1200,,9
19,,,,0.958,0.695,,,13
20,,,,0.787,0.75,,,65
21,,,,1.48,0.677,,,72
22,,,35,1.22,0.69,,,26
23,,chloroform,25,1.47,0.714,,,73
24,,,30,0.43,0.80,,,38
25,,acetone,25,3.66,0.578,,,73
26,,MEK,25,0.71,0.72,,,38
27,,benzene,25,0.55,0.76,,,30
28,,,,4.38,0.597,,,73
29,,,30,0.52,0.76,,,74
30,,toluene,25,1.91 2.08,0.68 0.64,> 7800,,33
31,,cydohexanone,40,3.66,0.603,,,34 42
32,,DMF,,,,,E,
33,,,25,0.404,0.787,,A,75
34,,,,2.5,0.625,,B,
35,,TFE,30,0.281,0.88,,,76
36,(100% isotactic),THF,25,1.665,0.660,,,77
37,(92% iso),,,1.690,0.659,,,
38,(83% iso),,,1.7l9,0.658,,,
39,(35% iso),,,0.984,0.692,,,
40,(23% iso),,,0.9577,0.695,,,
41,(15% iso),,,0.8892,0.694,,,
42,PEMA,THF,25,1.549,0.679,,,14
43,,,,2.25,0.66,,,78
44,PBMA,THF,25,0.503,0.758,,,14
45,,MEK,25,0.613,0.7258,10 4 -2 x 10 4,,79
46,,,,0.970,0.68,,,
47,,,,,,105-7 x 105,,80
