,Polymer,Solvent,Temp (OC),Kx 10 2 (mi!g),a,MW range (M x 10- 3,Re- mark,Ref
0,POMA,THF,25,5.556,0.560,,,14
1,PLMA,THF,25,0.73,0.69,,,81
2,PSMA,THF,30,0.90,0.67,,B,82
3,PMA,THF,25,0.388,0.82,,,83
4,,toluene,35,2.1,0.60,,,84
5,PtBA,THF,25,0.33,0.80,,H,85
6,Polyethylene,ODCB,l35,4.77,0.70,6-700,,56
7,,,,4.90,0.74,,,86
8,,,138,5.06,0.7,,F,58
9,,TCB,l35,5.50,0.704,,,87
10,,,,4.34,0.724,,,48
11,,,,9.54,0.64,,,49
12,,,,5.3,0.7,,F,88
13,HDPE,ODCB,135,5.05,0.693,10-1000,,57
14,,TCB,127,3.58,0.74,,,47
15,,,l30,3.92,0.725,,,89
16,,,135,9.54,0.64,,,90
17,,,,5.26,,,,88
18,,,,5.23,0.70 0.70,,,91
19,,,,7.1,0.67,,,92
20,,,,5.63,0.70,,,93
21,,,140,3.95,0.726,,,50
22,,,,3.23,0.735,,,94
23,,,145,1.73,0.784,,,52
24,,decalin,l35,4.17,0.71,,,95
25,,,,3.9,0.74,,,96
26,,,,4.6,0.73,,,91
27,,,l38,6.2,0.7,,F,97
28,,decane,120,6.98,0.65,,,95
29,LDPE LLDPE,ODCB TCB,135 145,5.06 5.91,0.70 0.69,0.2-200,,99 53
30,,TCB,l35,2.7,0.746,2.4-40,,58
31,Hydrogenated PB,,,,,,,
32,PP,,135,1.37,0.75,,,48
33,,TCB,,1.76,0.73,,,91
34,,ODCB,145 l35,1.56 1.0,0.76 0.78,,,53 86
35,,,,2.42,0.707,,B,98
36,,,,1.10,,,,
37,,,l35,1.10,0.80 0.80,,,99
38,,decalin,,,,,,"86, 91"
39,Polyisobutylene,THF,25,5,0.60,,H,100
40,,,40,6.47 5.79,0.593 0.593,0.73-67.6 0.82-80.4,A B,29
41,Polycarbonate,THF,25,3.99,0.77,,I,28
42,,,,4.9,0.67,7-270,,101
43,,,,4.12,0.69,10-300,,102
44,,toluene,35,3.18,0.680,,K,25
45,PB,,30,5.19,0.679 0.734,0.5-10 4,,17 21
46,,,68,2.888,0.753,,,
47,,,,2.103,,,,15
