,Polymer,Solvent,Temp (0e),K x 10 2 (ml!g),a,MW range (M x 10- 3 ),Re- mark,Ref
0,PAN,DMF,20,3.25,0.725,,,1
1,,,25,2.43,0.75,,,2
2,,,60,0.146,0.897,,A,3
3,,,,2.12,0.75,,A,4
4,PVP,DMF,60,1.85,0.646,,A,3
5,,MeOH/H 2 0 (l: 1),25,0.851,0.72,,B,5
6,P2VP,THF,25,2.23,0.66,,,6
7,,,35,3.02,0.61,,,7
8,,TFA + NaN0 3,35,0.575,0.922,,C,
9,,,,1.62,0.745,,D,
10,,,,2.57,0.651,,E,
11,,pyridine,25,0.445,0.78,,F,8
12,,NMP,80,0.88,0.73,,G,
13,,DMF,50,1.23,0.69,,H,
14,,sodium formate,25,0.25,0.93,,I,9
15,,,,0.50,0.83,,J,
16,,,,0.17,0.95,,K,
17,,see Remark,25,2.5,0.68,,L,10
18,Polyacrylamide,water,25,6.80,0.66,,,11
19,,,,1.0,0.755,40-9000,M,12
20,,,30,0.631,0.80,,,13
21,,O.lM Na 2 S0 4,25,1.94,0.70,,,14
22,,0.5M NaCI,25,1.21,0.746,,"pH9,M",15
23,,1M NaCI,,1.84,0.72,,"pH9,M",
24,NaPA,O.3N NaCl,25,1.69,0.75,,,16
25,Phenol (RN),acetone,25,4.7,1.90,"1-8, Mn",,17
26,,,30,63.1,0.28,"0.37-28,Mn",,18
27,,THF,30,73,0.28,"0.54-4.7, Mn",,
28,,DMF,25,18.0,0.51,"1-8,Mn",,17
29,,IN NaOH,,16.6,0.48,,,
30,(HO),acetone,30,8.13,0.5,"0.69-2.6,Mn",,18
31,PVPDMAEMA,LiN0 3,25,1.42,0.67,,N,19
32,PTAC 50,1M NaCI,25,5.64,0.90,,0,20
33,PTAC 100,1M NaCI,25,1.55,0.97,,0,20
34,PTMAC 50,1M NaCI,25,185,0.66,,0,20
35,PTMAC 100,1M NaCl,25,59.8,0.72,,0,20
36,PMVEMA,tris-buffer,35,3.17,0.70,,P,21
37,PDMDAAC,O.lM NaCI,30,3.5,0.62,,0,22
