,Polymer,Solvent,Temp (OC),Kx 10 2 (mUg),a,MW range (M x 10- 3,Re- mark ),Ref
0,Poly(N-vinylacetamide),Poly(N-vinylacetamide),,,,,,
1,,HP,30,16,0.52,,Q,22
2,Polyamic acid,DMAc,30,2.01,0.79,,R,23
3,"PEG,PEO",H 2 O,25,1.25,0.78,,,24
4,,,30,1.25,0.78,,,13
5,,LiN0 3,25,2.8,0.72,,N,19
6,,,35,3.48,0.70,,P,21
7,PEG,O.lN NaN0 3,35,10.1,0.58,,,25
8,PEO,,,3.47,0.70,,,
9,,0.42N NaOH,25,2.5,0.66,,,26
10,,p-dioxane,25,3.50,0.71,0.06-19,,27
11,,DMF,25,2.40,0.73,1-30,,
12,,,60,5.0,0.653,,A,3
13,,,,5.50,0.643,,A,4
14,,MeOH/H 2 0 (1:1),25,2.21,0.75,,B,5
15,PEG,MeCN/H 2 0 (2:8),35,87.3,0.60,,,25
16,PEO,,,2.45,0.73,,,
17,,MeOH/H 2 0 (2:8),25,3.4,0.75,,,28
18,PPG,benzene,30,3.241,0.686,1-4,,27
19,,toluene,30,0.447,0.920,0.8-4,,
20,,p-dioxane,30,2.247,0.715,1-4,,
21,,DMF,30,5.284,0.598,0.8-4,,
22,PYA,H 2 O,25,14.0,0.60,10-70,,29
23,,0.lNNaN0 3,35,13.3,0.56,l3-250,,30
24,Cellulose nitrate,THF,25,25.0,1.00,95-2300,,31
25,,,,82,1.0,DP < 1,S,"32,33"
26,,,,446,0.76,DP> 1,S,
27,,,,6.44,0.73,,T,34
28,Nitrocellulose,THF,25,3.21,0.83,,,35
29,Methyl cellulose,H 2 O,25,10.7,0.61,,0,36
30,Dextran,H 2 O,25,9.78,0.5,,,24
31,,O.lM NaCI,23,15.7,0.451,,U,37
32,,,25,l3.6,0.47,,,38
33,,O.lM NaN0 3,25,37,0.40,,V,39
34,,0.2MNaN0 3,,48.5,0.39,,,40
35,,0.2MNaN0 3 +,30,47.6,0.34,,,41
36,,0.025M KH 2 P0 4,,,,,,
37,,0.42N NaOH,25,12.0,0.48,,,26
38,,NaOH (0.005 N),25,18.0,0.438,,,42
39,,(0.0185 N),,18.5,0.431,,,
40,,(0.097 N),,15.8,0.451,,,
41,,(0.287 N),,12.4,0.474,,,
42,,(0.501 N),,13.2,0.478,,,
43,,(0.671 N),,14.7,0.465,,,
44,,(0.877 N),,15.1,0.464,,,
45,Branched dextran,MeOH/H O,,,,,,43
46,Pullulan,2 O.lM NaCI,25,103 1.79,0.25 0.67,,,38
47,,0.2MNaN0 3,,4.22,0.64,,,40
48,,0.025M KH 2 P0 4,30,1.70,0.72,,,41
