,Polymer,Solvent,Temp (OC),Kx lO2 (ml/g),a,MW range (M x lO-3),Re- mark,Ref
0,,NaAc buffer H 2 0,25 25,1.79 2.23,0.67 0.67,,Q,44 45
1,,,35,2.36 2.14,0.66 0.66,,Q,46
2,Polysaccharide,0.1N NaN0 3 MeCN/H 2 0 (2:8) MeOH/H20,35 25,3.72 4.4 6.9,0.59 0.6 0.6,,Q,25
3,Xanthan,(2:8) H 2 0,25 25 25,2.67 0.60,1.10 0.73,,Q,28
4,Xylan,O.lM NaN0 3 0.5MNaOH phosphate,,0.024,0.74,,Q,39 47 45
5,NaPSS,NaCl (0.005 N) (0.05 N) (0.20 N),,,0.80 1.061 0.935 0.845,,Q,
6,,(0.50 N) (1.0 N) O.lM NaCI NaOH (0.005 N) (0.0185 N) (0.097 N) (0.287 N),60 25,0.50 0.lO6 0.209 0.285 0.416 0.24 0.038 0.146 0.458 0.281,0.794 0.741 0.80 1.079 0.935 0.805 0.815 0.74 0.59,v,Q,
7,,,25,,,,,
8,,,,,,"Q,X",,45
9,,,25,,,,"Q,W",
10,,,25,0.057,,,"Q,W",42
11,,(0.501 N) (0.671 N) (0.877 N) 0.42N NaOH see Remark see Remark 0.15M NaCI see Remark,25 25,0.198 0.174 0.110 0.2 1.09 19.9 6.54,0.828 0.830 0.851 0.82 1.16,"O,Z",y,48 42 26 10
12,Chitosan HA,,25,3.6,0.78,,"Q,W",49 50
13,Ch4-S,0.2M NaCI,,3.1,1.01,,"Q,W",51
14,,,,17,,Z2,"Q,W",
15,,0.02M NaCI,25,5.49,0.74,,"Q,W",50
16,,THF,31.15,,,,"Q,W",53
17,,,,,,,"Q,W",52
18,,,,,0.639,,"Q,W",
19,P(DL)LA,guanidine,,,,,"Q,W",
20,Proteins,,,3.16,0.66,,Z3,54
21,,see Remark,,,,,Z4,55
22,,,25,0.0174,1.09,,,
