solvent,polymer,c_value,v_value,source_paper,table_name
deuterium oxide,polyethylene oxide,-7.62,0.62,1995 - Determination of Molecular Weight Distributions for Polymers by diffusion NMR,table2
benzene-d6,polystyrene,-7.94,0.49,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table2
chloroform-d,polystyrene,-7.97,0.46,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table2
toluene-d8,polystyrene,-7.82,0.51,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table2
tetrahydrofuran-d8,polystyrene,-8.07,0.42,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table2
deuterium oxide,polyethylene oxide,-8.23,0.49,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
methanol-d4,polyethylene oxide,-8.06,0.45,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
acetone,polyethylene oxide,-7.94,0.41,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
tetrahydrofuran-d8,polyethylene oxide,-7.94,0.46,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
polyethylene oxide,polyethylene oxide,-8.04,0.45,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
acetonitrile-d3,polyethylene oxide,-7.88,0.44,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
deuterium oxide,polyethylene oxide,-8.327,0.4466,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly Universal Calibration SI,table6
toluene,poly(methyl methacrylate),-8.11,0.43,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table1
benzene,poly(methyl methacrylate),-7.91,0.48,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table1
acetone,poly(methyl methacrylate),-7.74,0.44,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table1
tetrahydrofuran,poly(methyl methacrylate),-8.02,0.43,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table1
benzene,poly(butyl acrylate),-7.83,0.51,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table3
acetone,poly(butyl acrylate),-7.56,0.5,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table3
chloroform,poly(acrylate),-7.86,0.5,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table3
water,poly(ethylene glycol) methyl ether acrylate,-8.31,0.47,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table6
acetone,poly(ethylene glycol) methyl ether acrylate,-8.01,0.39,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table6
tetrahydrofuran-d8,polystyrene,-7.655839673984551,0.519361,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
chloroform-d,polystyrene,-7.630222150689829,0.534677,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
benzene-d6,polystyrene,-7.718505297869414,0.5283,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
toluene-d8,polystyrene,-7.6700776226075575,0.531065,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
dichloromethane,polystyrene,-7.56166654250548,0.521453,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
acetone,polystyrene,-7.679147780168245,0.452089,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
methanol-d4,polyethylene oxide,-7.843617451027789,0.504105,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
deuterium oxide,polyethylene oxide,-8.101177771017927,0.512155,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
acetonitrile-d3,polyethylene oxide,-7.590203777049215,0.515853,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
acetone,polyethylene oxide,-7.673502333065918,0.474477,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
tetrahydrofuran-d8,poly(methyl methacrylate),-7.61465473895388,0.517608,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
chloroform-d,poly(methyl methacrylate),-7.579851091223765,0.543219,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
benzene-d6,poly(methyl methacrylate),-7.683956229316216,0.530394,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
dichloromethane,poly(methyl methacrylate),-7.48967889681907,0.53678,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
dimethyl sulfoxide,poly(methyl methacrylate),-8.505773029599105,0.444236,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
tetrahydrofuran-d8,polystyrene,-7.497627511688311,0.5604,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
benzene-d6,polystyrene,-7.594397544790686,0.56041,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
chloroform-d,polystyrene,-7.523371224817643,0.56239,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
dichloromethane,polystyrene,-7.406713932979542,0.56162,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
toluene-d8,polystyrene,-7.670073559204548,0.53106,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
acetone,polystyrene,-7.679147780168245,0.45209,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
