,Copolymer- M w [g mol - 1 ] SEC-NMR,D copol [ × 10 - 10 m 2 s - 1 ] (DOSY) Biexponential fit,D homopol [ × 10 - 10 m 2 s - 1 ] (DOSY) Biexponential fit,M w copol [g mol - 1 ] (DOSY) Biexponential fit,M w homopol [g mol - 1 ] (DOSY) Biexponential fit,X wt copol (DOSY) Biexponential fit,X wt homopol (DOSY) Biexponential fit
0,SM1-48900,0.698,1.189,52 830,25 450,0.746,0.254
1,SM2-87200,0.381,0.607,102 950,58 450,0.451,0.549
2,SM3-85700,0.356,0.524,111 100,68 790,0.233,0.767
3,SM4-105400 aromatics,0.371,0.537,105 890,66 870,0.566,0.434
4,SM4-105400 OCH 3,0.373,0.669,105 310,52 410,0.689,0.311
5,SM5-147300,0.262,0.426,155 780,86 550,0.475,0.525
6,SM6-155400 aromatics,0.295,0.685,136 520,51 050,0.829,0.171
7,SM6-155400 OCH 3,0.286,0.565,141 420,63 270,0.757,0.243
8,IM1-5430,2.674,4.534,6060,2300,0.816,0.184
9,IM2-56500,0.608,1.225,61 470,21 800,0.771,0.229
10,IM3-118300,0.393,2.266,99 500,7570,0.887,0.113
