solvent,polymer,c_value,v_value,source_paper,table_name
toluene,poly(methyl methacrylate),-8.11,0.43,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table1
Benzene,poly(butyl acrylate),-7.83,0.51,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table3
Tetrahydrofuran-d8,Polystyrene,-7.65584,0.519361,test1,table1
chloroform-d,Polystyrene,-7.56169,0.70628,test1,table1
Acetone-d6,Polystyrene,-7.67914,0.49819,test1,table1
Methanol-d4,poly(ethylene oxide),-7.84364,0.65424,test1,table1
Tetrahydrofuran-d8,poly(ethylene oxide),-7.73384,0.6831,test1,table1
Acetonitrile-d3,poly(ethylene oxide),-7.59019,0.68948,test1,table1
Acetone-d6,poly(ethylene oxide),-7.67349,0.56535,test1,table1
Tetrahydrofuran-d8,poly(methyl methacrylate),-7.61469,0.69474,test1,table1
dimethyl sulfoxide,poly(methyl methacrylate),-8.50579,0.47463,test1,table1
Benzene,Polystyrene,-7.70,0.54,test5,table1
Deuterium oxide,poly(ethylene oxide),-8.14,0.49,test5,table3
Methanol-d4,poly(ethylene oxide),-8.32,0.45,test5,table3
Acetone-d6,poly(ethylene oxide),-8.46,0.41,test5,table3
Tetrahydrofuran-d8,poly(ethylene oxide),-8.26,0.46,test5,table3
chloroform-d,poly(ethylene oxide),-8.08,0.45,test5,table3
Acetonitrile-d3,poly(ethylene oxide),-8.34,0.44,test5,table3
toluene,poly(methyl methacrylate),-8.11,0.43,test7,table1
Benzene,poly(butyl acrylate),-7.83,0.51,test7,table3
