,Reference,M X 10- 5 (g mol-I),[TI] (cm 3 g-I),Rg (run),RH (nm),A2 X 10 4 (cm 3 mol g-2)
0,68,0.93,41.5,,7.8,
1,,3.07,,,14.7,3.58
2,,6.20,,,21.5,3.10
3,,8.95,206,43.5,26.0,2.48
4,,18.5,355,62.0,40.1,2.10
5,,38.8,575,95.0,56.0,1.70
6,,56.3,,118,78.0,1.61
7,,84.6,,161,,1.40
8,69,84.2,,161,107,
9,,220,,246,159,
10,70,37.1,,92.5,,1.74
11,43,0.50,26.1,,,
12,,1.00,41.7,,,
13,71,6.00,,34.8,,
14,,18.0,,60.8,,
15,72,0.50,26.0,,,
16,,1.11,48.3,,,
17,,2.07,70.3,,,
18,,2.16,70.6,,,
19,,2.54,84.6,,,
20,,3.92,114,,,
21,,6.75,163,,,
22,,9.50,225,,,
23,,13.5,275,,,
24,73,0.944,39.3,,,
25,,2.16,69.7,,,
26,,4.14,115,,,
27,,7.57,178,,,
28,,8.67,189,,,
29,,13.5,266,,,
30,,33.7,519,,,
