,Reference,M X 10- 5 (g mol-I),"[""l (em 3 g-I)",Rg (om),RH (om),A2 X 10 4 (em 3 mol g-2)
0,77,0.51,28.9,,,
1,,0.98,46.8,,,
2,,1.73,67.2,,,
3,,4.11,128,,,
4,,8.67,219,,,
5,,21.5,380,,,
6,78,0.51,28.7,,,
7,,0.982,44.0,,,
8,,1.73,63.6,,,
9,,4.11,128,,,
10,,6.70,176,,,
11,,26.7,450,,,
12,67,0.972,48.7,,,
13,,2.00,78.8,,,
14,,3.90,134,,,
15,,6.70,189,,,
16,,12.3,300,,,
17,,24.2,498,,,
18,,25.3,521,,,
19,,45.9,800,,,
20,,55.5,895,,,
21,,96.0,1350,,,
22,,181,2100,,,
23,80,0.51,28.0,,,
24,,0.972,44.6,,,
25,,1.60,65.6,,,
26,,3.98,133,,,
27,,8.60,222,,,
28,81,16.6,,66.0,,
29,,35.3,,98.3,,
30,82,2.75,,,,4.68
31,,5.94,,,,4.06
32,,9.03,,39.5,,3.41
33,,20.7,,68.5,,3.01
34,65,7.10,,39.5,26.3,
35,,11.2,,51.4,33.8,
36,,16.5,,64.3,41.7,
37,,29.5,,91.7,60.2,
38,,37.1,,105,69.S,
39,,62_7,,I~R,9U,
40,68,0.37,,,5.7S,
41,,0.51,,,6.31,
42,,LIO,,,10.3,
43,,3.90,,,20.4,
44,,4.11,,,20.2,
45,,6.00,,,26.2,
46,,8.92,,43.8,,3.96
47,,18.2,,59.0,48.2,2.95
48,,30.0,,,62.3,
49,,38.0,,94.5,,2.57
50,,54.8,,,86.6,
51,,55.5,,118,,2.20
52,,76.0 84.2,,137,116,2.06
